VOL_PULL,V_HR8_SOV,V_HR18_SOV,DY_TOT
1,527.8,1184.02,11358.91
2,1760.07,649.25,12107.76
3,3208.13,1944.14,33494.78
4,1529.89,2823.01,32035.77
5,1043.62,909.61,13868.14
6,666.66,1047.05,12824.35
7,4306.18,2336.46,41254.15
8,1772.63,3612.66,40090.08
9,330.86,191.14,2471.59
10,1622.37,1495.55,17077.92
11,351.54,1055.73,8260.58
13,2304.77,2742.42,27810.09
14,1422.73,380.61,9283.84
15,2646.75,2274.29,28100.74
16,1224.02,1893.68,18816.9
18,1113.35,613.75,5501.97
19,232.98,1710.47,6456.76
20,3418.12,3356.17,33312.06
21,2879.73,3984.76,34557.5
22,5388.63,3631.63,54292.85
23,2644.47,4883.68,52977.37
24,696.02,248.96,5206.11
25,177.42,480.1,4624.91
26,4133.88,3155.7,47128.12
27,2393.73,3670.79,45947.43
28,368.17,502.89,6023.44
29,430.14,534.17,7002.35
30,1487.66,967.77,14340.09
31,409.53,991.87,11460.87
32,1254.75,475.93,7164.73
33,3136.14,2573.39,35490.14
34,2536.09,3095.66,38167.58
35,114.67,238.43,2834.11
36,218.3,167.78,3039.26
37,2368.1,1089.68,12666.69
38,483.72,2923.36,13486.7
39,3136.14,2573.39,35490.14
40,2639.72,3025.01,38372.73
41,532.89,243.01,4152.13
42,273.89,397.89,4002.52
43,10.66,77.41,568.1
44,51.71,40.09,524.36
45,262.13,1387.21,5756.68
46,1120.01,603.69,5768.11
47,3843.86,2957.11,36359.23
48,2707.51,4074.68,39423.74
49,221.59,1536.15,7730.02
50,1248.09,485.98,6898.59
51,272.98,225.05,2941.04
52,289.27,256.11,3050.93
53,1333.42,2435.81,16976.99
54,1725.78,2346.6,16682.42
55,2193.88,1823.11,28410.44
56,1433.6,2820.41,31070.49
57,66.91,245.71,1258.78
58,87.89,130.03,1063.29
59,506.49,351.04,4566.33
60,430.96,458.59,5013.9
61,2502.92,2065.95,31474.34
62,1839.14,2840.02,33491.33
63,288.5,1781.86,8988.8
64,1335.98,616.01,7961.88
65,668.22,317.74,4243.43
66,161.92,1066.74,5389.06
67,2595.76,2018.8,28545.48
68,1754.85,2983.07,30296.27
69,1236.4,1122.96,12700.63
70,971.57,1412.93,13078.38
71,2295.33,2119.74,26150.97
72,1719.25,2794.04,27524.02
73,667.75,298.27,3718.45
74,126.58,715.12,3599.73
75,0,129.14,1082.61
76,0,0,0
77,1719.25,2664.9,26441.41
78,2295.33,2119.74,26150.97
79,50.24,235.61,2065.04
80,321.39,154.69,2327.53
81,0,49.6,330.29
82,0,126.39,1193.53
83,262.56,256.61,2693.82
84,152.48,363.53,2967.14
85,34.44,92.37,665.45
86,125.16,102.18,1121.45
87,1557.03,2713.47,25139.63
88,2203.46,2107.71,24065.76
89,0,0,0
90,0,0,0
91,667.75,298.27,3718.45
92,126.58,715.12,3599.73
93,361.13,1273.49,9724.12
94,690.94,632.84,8265.4
95,1591.67,1907.87,20482.49
96,1908.29,1942.76,20867.35
97,2576.04,2241.04,24585.79
98,1718.25,2623,24082.23
99,249.7,340.08,4307.25
100,62.92,301.72,2823.24
101,0,68.85,183.09
102,63.51,184.15,1522.88
103,753.04,612.7,9217.9
104,348.8,1126.84,10055.42
105,289.46,211.27,3019.02
106,241.26,332.87,3449.11
110,250.74,1212.89,7029.94
111,2723.85,2353.42,30591.12
112,2445.38,2687.48,33667.06
