;Hours,  Dir1, Dir2,  Dir3,  Dir4
1,0.006450813,0.014196447,0.006450813,0.014196447
2,0.005055204,0.008350851,0.005055204,0.008350851
3,0.004465947,0.006219944,0.004465947,0.006219944
4,0.004590001,0.004607366,0.004590001,0.004607366
5,0.010606624,0.004924122,0.010606624,0.004924122
6,0.031540752,0.012843033,0.031540752,0.012843033
7,0.067423397,0.027845768,0.067423397,0.027845768
8,0.085938469,0.034756817,0.085938469,0.034756817
9,0.081968738,0.036426988,0.081968738,0.036426988
10,0.065283464,0.040343249,0.065283464,0.040343249
11,0.055049001,0.042186195,0.055049001,0.042186195
12,0.055235082,0.04912604,0.055235082,0.04912604
13,0.055173055,0.056037089,0.055173055,0.056037089
14,0.055607245,0.056670602,0.055607245,0.056670602
15,0.053901501,0.064675901,0.053901501,0.064675901
16,0.055017988,0.073141936,0.055017988,0.073141936
17,0.05529711,0.085005903,0.05529711,0.085005903
18,0.057437043,0.089181329,0.057437043,0.089181329
19,0.058801638,0.078037262,0.058801638,0.078037262
20,0.045248728,0.062170645,0.045248728,0.062170645
21,0.031509738,0.05203444,0.031509738,0.05203444
22,0.025462101,0.044086734,0.025462101,0.044086734
23,0.020003722,0.033345812,0.020003722,0.033345812
24,0.012932639,0.023785527,0.012932639,0.023785527
