;Hours,  Dir1, Dir2,  Dir3,  Dir4
1,0.007038573,0.014166487,0.007038573,0.014166487
2,0.005515805,0.008333228,0.005515805,0.008333228
3,0.004872858,0.006206818,0.004872858,0.006206818
4,0.005008215,0.004597643,0.005008215,0.004597643
5,0.011573038,0.004913731,0.011573038,0.004913731
6,0.075442242,0.030365039,0.075442242,0.030365039
7,0.406468871,0.431295772,0.406468871,0.431295772
8,0.518088887,0.53833919,0.518088887,0.53833919
9,0.225420054,0.238130781,0.225420054,0.238130781
10,0.071231709,0.040258112,0.071231709,0.040258112
11,0.060064743,0.042097169,0.060064743,0.042097169
12,0.060267779,0.04902237,0.060267779,0.04902237
13,0.0602001,0.055918834,0.0602001,0.055918834
14,0.06067385,0.05655101,0.06067385,0.05655101
15,0.058812689,0.064539415,0.058812689,0.064539415
16,0.123683659,0.14034222,0.123683659,0.14034222
17,0.429841,0.419525503,0.429841,0.419525503
18,0.446475341,0.440132277,0.446475341,0.440132277
19,0.221848953,0.20029585,0.221848953,0.20029585
20,0.049371527,0.062039447,0.049371527,0.062039447
21,0.03438072,0.051924632,0.03438072,0.051924632
22,0.027782059,0.043993698,0.027782059,0.043993698
23,0.021826343,0.033275442,0.021826343,0.033275442
24,0.014110985,0.023735332,0.014110985,0.023735332
