;Hours,Dir_1,Dir_2
1,-2.748763669,-2.748763669
2,-2.748763669,-2.748763669
3,-2.748763669,-2.748763669
4,-2.748763669,-2.748763669
5,-2.748763669,-2.748763669
6,-1.296821344,-1.296821344
7,-0.456821344,-0.904821344
8,-0.456821344,-0.904821344
9,-0.456821344,-0.904821344
10,-0.904821344,-0.904821344
11,-0.904821344,-0.904821344
12,-0.904821344,-0.904821344
13,-0.904821344,-0.904821344
14,-0.904821344,-0.904821344
15,-0.904821344,-0.904821344
16,-0.904821344,-0.456821344
17,-0.904821344,-0.456821344
18,-0.904821344,-0.456821344
19,-0.904821344,-0.456821344
20,-0.904821344,-0.904821344
21,-0.904821344,-0.904821344
22,-1.296821344,-1.296821344
23,-1.296821344,-1.296821344
24,-1.296821344,-1.296821344
