LOVMID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,3.01,45.97,4.51,0,3.4,1.25,9.37,106.57,10.57,0,3.12,1.9,0,0,438.79,279.4,299.17,73.55,463.29,3.39,0,0,0.14,0,3.41,0.19,0.73,1.62,14.45,2.45,0
2,26.48,0,21.52,2.22,0,1.58,4.1,5.55,25.09,36.04,11.31,2.46,0.48,21.86,0,87.19,119.89,79.4,103.87,129.64,3.53,21.36,0,0.91,2.78,0.43,0.01,0.89,14.65,7.95,0,55.67
3,47.49,21.77,0,16.59,0,59.95,46.52,13.66,38.74,61.47,42.84,163.91,33.28,25.13,0,318.37,77.18,59.8,507.31,313.46,66.93,23.22,0,37.3,6.35,84.32,0,34.01,5.3,0,0,236.68
4,4.7,2.26,16.59,0,0,18.16,0,0.79,3.65,5.12,4.38,19.49,10.49,2.48,0,47.44,7.98,6.41,62.83,41.05,13.91,13.01,0,67.25,33.04,23.13,0,9.04,0.21,0,0,26.36
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.1,1.86,64.45,18.37,0,0,0,1.01,6.65,8.68,5.23,37.82,39,4.48,0,212.09,66.39,28.37,200.14,179.01,128.52,9.43,0,164.5,149.57,109.06,1.14,24.07,1.72,0,0,75.56
7,10.77,2.61,45.93,0,0,0,0,1.84,8.96,17.42,3.53,33.94,0,6.98,0,111.72,101.38,64.31,126.44,141.2,0,6.2,0,0,124.4,0,0,0,7.87,0,0,50.43
8,31.73,5.66,13.81,0.83,0,0.77,3.27,0,28.18,44.91,14.13,3.97,1.04,23.67,0,152.21,131.49,101.52,67.02,152.87,3.49,66.79,0,1.02,0.13,1.06,0.02,0.08,21.6,9.66,0,86.06
9,108.07,2.32,38.04,3.59,0,4.42,1.71,6.55,0,12.69,0,4.12,2.25,45.06,0,0,0,0,0.02,402.57,4.86,407.87,0,0.94,0,3.8,0.17,1.33,6.58,18.78,5.14,176.65
10,33.22,57.84,60.03,4.96,0,9.62,48.44,64.15,34.66,0,0,12.79,3.04,15.9,0,241.8,184.59,152.61,207.28,300.35,46.63,199,0,14.64,0,10.76,0.15,5.16,11.23,164.87,0,123.34
11,0,11.38,42.29,4.32,0,4.85,4.83,13.88,0,0,0,6.28,2.1,0,0,0,0,0,0,0,7.54,0,0,9.17,0.27,1.91,0.03,0.94,0,0,0,0
12,2.69,2.47,161.17,19.11,0,35.45,33.55,3.99,3.66,6.08,6.23,0,6.08,2.88,0,54.14,41.28,10.25,185.23,94.67,21.38,0.66,0,147.39,132.97,17.05,0.17,14.08,0.39,0,0,10.8
13,3.12,0.69,35.89,10.2,0,37.42,0,1.25,3.03,2.79,2.28,6.02,0,2.15,0,17.36,39.15,9.21,31.13,41.7,55.97,1.06,0,34.42,50.07,15.17,0.21,11.66,0.37,0,0,7.54
14,0,0.94,24.47,2.38,0,2.52,1.6,2.24,44.52,7.87,0,3.2,2.01,0,0,0,70.21,366.04,25.44,555.08,1.09,0,0,0.22,0,1.61,0.17,0.55,3.56,18.21,2.09,0
15,0,32.33,377.81,55.53,0,184.84,82.24,95.02,0,205.52,0,52.18,18.24,0,0,0,0,0,0,0,829.51,0,2068.3,89.72,0,654.38,1.55,39.96,202.46,1192.24,83.5,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,318.91,132.6,74.74,7.69,0,78.83,123.52,141.79,0,175.86,0,82.25,33.16,100.42,0,0,0,0,0,431.52,114.16,661,0,87.04,0,66.86,41.52,53.68,174.52,206.74,0,1052.15
18,277.2,34.65,58.44,6.26,0,3.24,31.43,48.77,0,61.78,0,4.96,1.72,351.99,0,0,0,0,0,1625.77,35.23,4906.25,0,4.09,0,5.14,0.07,0.76,61.6,113.36,15.24,0
19,128.77,129.39,438.99,53.34,0,191.78,150.94,83.82,0.02,218.08,0,220.06,31.47,78.66,0,0,0,0,0,403.13,174.74,478.29,0,286.48,58.09,249.94,7.49,59.25,79.32,333.7,0,371.42
20,525.86,150.48,287.22,37.05,0,183.06,166.7,164.92,452.69,290.03,0,140.5,65.11,582.96,0,0,500.49,1651.27,382.99,0,419.82,1174.87,0,126.88,0,299,48.8,84.93,230.85,292.59,232.62,0
21,4.31,5.52,65.92,13.51,0,107.99,0,5.16,5.4,14.64,9.07,19.61,46.66,1.38,0,707.83,86.6,54.25,140.85,416.53,0,3.78,0,755.71,182.53,658.23,31.05,49.64,9.21,0,0,80.95
22,0,44.84,23,9.52,0,31.01,29.95,85.88,442.91,201.48,0,0.38,0.63,0,0,0,800.76,5023.01,458.62,1133.36,34.88,0,0,18.48,0,8.77,0.46,4.94,13.76,11.18,168.13,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1748.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,8.74,4.52,37.66,66.47,0,179.08,0,4.02,5.61,15.89,13.68,182.08,35.63,3.04,0,150.27,97.35,60.63,403.57,137.85,755.55,15.27,0,0,130.46,214.56,0.59,36.13,6.68,0,0,66.86
25,0,2.92,6.31,35.86,0,135.11,111.47,0.22,0,0,0.33,137.83,29.86,0,0,0,0,0,48.18,0,191.3,0,0,86.57,0,136.51,6.62,58.27,0,0,0,0
26,5.85,0.6,85.63,22.8,0,99.73,0,1.43,6.03,8.35,2.67,18.27,14.36,2.78,0,636.08,49.91,10.95,239.52,298.26,578.76,7.47,0,188.14,147.65,0,0.33,14.71,0.49,0,0,85.43
27,0.04,0.19,0,0,0,10.73,0,0.2,0.03,0.61,0.2,0.18,0.21,0.02,0,33.38,37.34,4.29,3.67,39.28,57.36,0.3,0,0.64,31.05,0.88,0,0.09,0.01,0,0,0.76
28,0.46,0.89,33.53,9.1,0,7.47,0,0.17,1.15,2.77,0.99,14.31,9.88,0.31,0,60.53,21.95,0.11,23.17,51.27,49.76,2.34,0,14.9,57.53,12.74,0.12,0,0.94,0,0,10.59
29,28.68,13.87,5.23,0.17,0,0.54,7.02,20.75,24.24,2.37,0,0.08,0.42,5.8,0,250.62,172.76,137.96,55.3,234.73,8.84,11.41,0,0.21,0,0.04,0.01,0.29,0,1.62,0.25,154.92
30,43.18,42.76,0,0,0,0,0,44.77,36.17,189.76,0,0,0,24.32,0,833.99,266.9,257.31,363.2,351.64,0,11.55,0,0,0,0,0,0,1.98,0,74.37,202.69
31,25.14,0,0,0,0,0,0,0,21.86,0,0,0,0,9.72,0,0.19,0,78.66,0,240.06,0,169.29,0,0,0,0,0,0,7.01,53.96,0,122.76
32,0,76.33,225.04,24.9,0,90.83,79.13,102.44,210.72,120.4,0,35.45,8.62,0,0,0,1023.19,0,344.41,0,110.69,0,0,62.27,0,99.9,1.68,20.26,160.15,170.39,117.07,0
