LOVNT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0.04,37.38,3.67,0,2.54,0.42,0,73.79,5.92,0,0.9,0.79,0,0,268.97,177.95,264.84,66.98,390.75,3.36,0,0,0,0.15,3.61,0,0.04,10.44,9.62,0.01,0
2,0.1,0,14.38,1.42,0,1.05,5.11,3.85,0.78,5.29,6.32,1.09,0.05,0.41,0,61.85,72.8,40.23,120.44,96.05,16.21,93.96,0,4.45,1.77,0.27,0,0.47,15.78,5.58,0,12.26
3,25.11,10.74,0,10.42,0,35.31,24.31,8.26,21.3,31.27,23.83,78.46,15.25,13.22,0,209.35,38.28,74.25,253.91,193.5,43.29,13.3,0,24.72,3.61,53.72,0,18.58,2.74,0,0,130.6
4,2.48,1.29,10.24,0,0,12.69,0,0.61,2.18,2.65,2.65,9.29,5.79,1.26,0,31.93,4.18,9.03,31.37,28.32,8.78,16.99,0,36.19,8.95,15.26,0,5.98,0.22,0.7,0,14.94
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.88,0.82,40.1,10.51,0,0,0,0.81,2.78,4.11,2.89,18.63,21.29,1.19,0,153.83,35.61,16.64,109.68,130.19,204.29,91.61,0,84.54,44.55,81.94,1.48,10.28,0.41,2.75,0,24.17
7,0.6,0.47,29.98,0,0,0,0,0.08,0.53,2.67,0.74,16.5,0,0.39,0,67.28,55.25,26.61,118.63,91.77,0,70.96,0,0,53.4,0,0,0,1.02,1.88,0,6.39
8,0,2.75,8.46,0.62,0,0.77,4.82,0,1.05,8.64,7.66,2.09,0.47,0.96,0,111.6,82.06,47.08,96.28,113.26,18.96,115.52,0,3.57,0,1.39,0,0.35,15.39,6.7,0,34.44
9,59.34,0.98,30.06,2.99,0,4.03,0.67,1.86,0,7.29,0,1.98,1.33,25.66,0,0,0,0,0,370.65,3.78,384.73,0,1.18,0.13,4.41,0,1.01,5.74,16.19,2.85,69.94
10,6.4,14.89,49.58,4.18,0,6.64,5.07,26.46,8.27,0,0,3.15,1.24,3.9,0,184.08,130.3,98.94,200.06,233.48,27.7,211.43,0,4.09,0.13,7.81,0,2.07,36.43,153.41,0,60.55
