LOVAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,7.72,8.95,1.07,0,1.12,2.23,7.2,33.66,4.71,0,2.03,0.81,0,0,386.49,67.76,8.46,8.98,95.58,0.88,0,0,0.66,0.03,1.63,0.01,0.22,1.33,3.34,2.2,0
2,26.62,0,6.89,0.53,0,0.42,1.05,1.58,20.44,22.98,4.84,2.63,0.6,15.42,0,85.47,37.67,0.05,26.77,42.09,0.24,4.85,0,1.67,1.14,0.04,0.01,0.02,7.91,6.78,0.07,37.91
3,28.66,10.85,0,8.38,0,24.52,26.68,5.45,18.17,33.11,25.71,132.79,31.35,14.84,0,291.08,47.9,29.22,327.08,195.44,50.68,11.16,0,13.4,3.12,66.45,0,9.86,3.09,0,0,197.45
4,3.88,1.07,7.28,0,0,5.72,0,0.38,1.82,3.47,2.56,14.26,7.99,2.07,0,44.12,5.31,3.65,41.01,27.14,12.48,16.53,0,36.48,16.35,17.04,0,3.38,0,0.85,0,24.08
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3.46,1.93,28.45,10.07,0,0,0,1.81,4.7,6.05,4.39,29.19,30.22,2.88,0,219.53,5.25,0.18,24.18,81.76,188.08,76.08,0,101.57,61.53,98.21,0.09,5.64,0.9,4.54,0,68.31
7,8.37,6.41,15.94,0,0,0,0,6.36,8.24,5.37,7.05,19.7,0,8.39,0,89.03,19.57,0.14,26.42,34.46,0,19.9,0,0,46.07,0,0,0,5.2,1.41,0,28.01
8,33.83,3.52,7.41,0.75,0,0.76,1.65,0,28.55,32.84,9.63,4.36,1.71,27.22,0,180.91,52.41,0.2,45.26,91.31,0.08,40.96,0,1.87,0.19,1.59,0.01,0.4,11.66,15.43,0.08,81.47
9,64.37,7.69,8.95,1.03,0,1.13,2.26,6.49,0,6.49,0,2.72,0.58,25.71,0,0,0,0,8.36,171.76,1.26,278.99,0,0.64,0,0.82,0.01,0.23,1.8,10.5,2.96,123.81
10,20.21,30.83,12.03,1.33,0,13.31,26.19,29.04,17.07,0,0,7.92,15.83,12.9,0,149.96,44.62,0.27,58.27,84.39,9.39,46.5,0,14.95,0.5,9.54,0.05,1.95,21.75,34.35,0,74.7
11,0,5.46,14.19,1.25,0,2.16,1.5,4.21,0,0,0,2.75,2.18,0,0,0,0,0,0,0,0.71,0,0,2.69,0.32,0.22,0.02,0.02,0,0,0,0
12,1.25,1.22,46.55,5.08,0,9.59,9.11,1.01,1.28,2.49,1.47,0,4.06,0.74,0,57.65,0.48,1.02,24.05,10.22,3.57,15,0,29.46,39.95,5,0.03,3.5,0.6,2.47,0,6.1
13,1.11,0.24,5.89,2.77,0,6.93,0,0.21,0.38,1.16,1.12,4.08,0,0.02,0,4.47,1.64,1.02,6.47,4.58,3.06,5.4,0,6.98,2.72,3.27,0.02,2.09,0.17,0.73,0,4.39
14,0,4.97,5.22,0.48,0,0.28,2.36,1.17,15.74,3.84,0,1.1,0.75,0,0,0,0.01,22.9,7.39,196.71,0.03,0,0,0.59,0,1.02,0.01,0.01,0.72,3.99,0.92,0
15,0,50.25,114.05,15.76,0,57.09,68.23,52.67,0,120.1,0,55.17,27.01,0,0,0,0,0,81.99,0,86.8,0,1909.39,46.47,0.83,237.44,1.61,5.96,47.87,311.41,49.24,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,137.01,11.41,23.41,2.42,0,7.08,9.7,10.59,0,21.93,0,5.78,7.81,13.83,0,0,0,0,0,196.57,1.97,387.86,0,7.11,1.46,6.53,0.02,0.78,10.91,30.32,0.76,698.84
18,103.04,8.39,16.32,2.3,0,3.5,3.2,7.66,0,6.58,0,6.16,2.39,78.85,0,0,0,0,11.83,507.01,0.88,2346.49,0,0.94,0.86,9.58,0.02,1.24,0.17,11.1,1.76,0
19,102.92,88.83,110.62,13.29,0,57.32,90.57,69.66,3.29,175.74,0,126.16,61.81,90.07,0,4.85,6.37,0,0,174.49,64.14,193.69,0,113.27,45.67,158.91,4.05,14.18,48.1,178.61,0.78,232.87
20,242.4,30.46,88.93,12.96,0,21.52,32.42,24.57,174.03,115.67,0,35.87,17.75,251.81,0,0,12.88,556.55,132.93,0,146.07,658.13,0,11.27,2.71,142.72,0.61,6.41,20.87,73.49,62.78,0
21,42.94,14.08,25.45,5.95,0,117,0,14.75,36.09,36.73,22.62,42.26,30.1,30.95,0,130.41,53.16,3.51,34.18,278.36,0,36.27,0,309.61,163.23,102.58,26.45,48.01,6.68,3.17,0,88.87
22,0,6.74,77.43,8.01,0,15.05,7.01,8.68,42.24,26.05,0,10.68,5.78,0,0,0,4.56,1323.96,33.01,134.95,12.73,0,0,4.71,0.21,13.58,0.05,3.96,4.67,14.98,10,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10.92,9.69,20.52,25.83,0,46.1,0,8.49,10.41,5.96,26.7,131.47,28.87,9.26,0,162.59,24.15,0.12,349.46,60.81,287.94,36.52,0,0,71.3,122.18,0.25,5.52,8.04,2.8,0,55.88
25,0.42,2.12,2.5,7.19,0,30.17,50.49,0.2,0.83,0.8,0.36,55.63,31.04,0.46,0,5.72,1.34,0.37,40.26,3.5,79.72,0.64,0,31.96,0,79.16,0.03,5.02,0.08,0,0,4.48
26,8.66,2.91,44.12,11.7,0,46.25,0,3.15,6.08,14.48,7.64,24.43,32.16,2.93,0,300.31,11.96,0.3,102.05,120.16,295.43,61.77,0,89.4,58.89,0,0.39,5.43,4.08,8.46,0,131.66
27,2.14,0.65,0,0,0,15.57,0,0.47,0.73,0.76,1.17,1.05,16.1,1.01,0,44.8,4.72,0.04,7.04,3.36,11.61,0.02,0,3.16,13.81,11.39,0,0.03,0,0,0,1.62
28,2.63,1.9,19.16,4.79,0,10.96,0,1.09,2.26,2.65,3.17,13.49,13.17,2.66,0,77.61,4.73,0.1,11.46,5.87,8.11,31.58,0,8.84,10.71,11.75,0.05,0,5.93,1.9,0,13.37
29,45.26,15.98,1.33,0,0,6.27,5.13,14.67,31.49,12.01,0,0.74,0.77,26.1,0,401.73,96.53,0.7,26.79,153.35,3.57,4.85,0,5.73,0.09,3.01,0,0.2,0,1.92,6.67,176.43
30,42.46,28.32,0,1.1,0,6.65,17.68,24.66,25.74,124.29,0,6.85,9.98,18.58,0,725.92,101.81,1.06,185.81,142.14,2.58,5.59,0,8.1,0,4.02,0.02,0.02,11.26,0,39.57,118.61
31,23.09,0,0,0,0,0,0,0,16.78,0,0,0,0,14.24,0,2.8,7.53,0.21,0,94.63,0,58.81,0,0,0,0,0,0,21.03,23.69,0,105.8
32,0,33.92,37.84,4.11,0,20.13,29.13,34.55,52.3,28.98,0,7.46,14.53,0,0,0,236.63,0,73.1,0,12.43,0,0,21.22,1.01,14.34,0.07,2.79,28.88,33.73,23.74,0
