HOVAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,1.55,2.66,0.33,0,0.25,0.53,2.27,10.43,1.14,0,0.65,0.11,0,0,82.34,17.32,2.32,2.56,21.52,0.57,0,0,0.16,0.03,0.27,0,0.05,0.21,1.05,0.56,0
2,5.49,0,1.43,0.14,0,0.08,0.24,0.38,3.9,5.38,0.99,0.82,0.1,3.28,0,12.91,6.62,0.01,4.8,7.13,0.11,1.13,0,0.21,0.2,0.01,0,0,0.5,1.46,0,6.76
3,6.35,2.44,0,2.01,0,4.71,6.66,1.67,4.33,8,6.67,53.74,3.3,3.19,0,48.74,9.92,6.21,69.58,40.19,12.28,2.96,0,4.06,0.67,14.2,0,2.78,0.65,0,0,41.85
4,0.8,0.21,1.87,0,0,1.64,0,0.15,0.48,0.86,0.54,5.73,1.81,0.36,0,7.46,1.04,0.67,8.66,5.51,3.5,6.6,0,10.15,4.81,3.96,0,1.11,0,0.27,0,5.01
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.31,7.08,2.7,0,0,0,0.64,0.84,1.41,0.79,11.55,5.77,0.56,0,42.52,1.11,0.03,4.69,16.02,42.73,32.1,0,31.41,25.03,23.87,0.03,1.28,0.17,1.33,0,13.69
7,1.96,1.69,4.35,0,0,0,0,1.74,2.25,1.22,1.82,7.51,0,1.93,0,16.67,4.11,0.01,5.38,7.44,0,7.44,0,0,17.04,0,0,0,1.92,0.39,0,5.85
8,7.56,0.77,1.7,0.14,0,0.21,0.29,0,7.36,8.96,2.63,1.54,0.15,5.62,0,29.51,11,0.29,8.89,17.26,0.02,13.36,0,0.39,0.11,0.12,0,0.03,3.12,3.35,0.02,15.65
9,19.05,1.23,2.28,0.28,0,0.31,0.49,2.25,0,1.51,0,0.87,0,6.81,0,0,0,0,2.24,31.24,0.27,79.59,0,0.16,0.06,0.19,0,0.1,0.4,2.6,0.68,28.3
10,4.5,6.31,3.38,0.33,0,4.39,6.21,9.64,4.32,0,0,2.72,2.2,2.77,0,25.91,8.97,0.27,15.58,17.61,2.64,15.48,0,4.64,0.1,2.3,0.02,0.56,3.97,10.34,0,15.63
11,0,1.21,3.8,0.26,0,0.41,0.3,1.43,0,0,0,0.87,0.35,0,0,0,0,0,0,0,0.33,0,0,0.64,0.03,0.03,0,0.06,0,0,0,0
12,0.37,0.34,19.56,2.15,0,4.49,3.32,0.49,0.5,0.65,0.47,0,1.02,0.1,0,10.98,0.22,0.31,10.16,2.64,1.59,5.46,0,13.66,12.94,2,0.01,1.8,0.22,1,0,1.06
13,0.14,0.08,1.63,0.83,0,2.15,0,0.07,0.06,0.27,0.21,1.57,0,0.06,0,0.22,0.29,0.27,2.24,1.04,0.88,2.16,0,2.57,0.47,1,0,0.75,0.07,0.19,0,0.97
14,0,1,1.45,0.13,0,0.12,0.54,0.39,4.75,0.98,0,0.17,0.13,0,0,0,0,6.34,2.12,46.86,0.26,0,0,0.06,0,0.1,0,0.05,0.18,1.27,0.27,0
15,0,9.62,37.59,5.07,0,23.5,18.67,16.43,0,32.14,0,21.41,7.01,0,0,0,0,0,25.9,0,73.03,0,554.05,17.48,0.23,161.03,0.55,1.85,12.87,107.64,16.61,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,30.98,1.95,6.15,0.56,0,2.24,2.11,3.01,0,4.49,0,1.71,1.42,2.94,0,0,0,0,0,34.27,0.84,133.97,0,2.21,0.33,0.67,0.01,0.12,2.23,7.68,0.03,154.12
18,23.55,1.59,4.26,0.48,0,1.14,0.58,2.31,0,1.15,0,1.63,0.55,18.54,0,0,0,0,2.96,105.39,0.34,711.21,0,0.12,0.06,1.84,0,0.41,0.02,2.65,0.13,0
19,21.85,19.95,27.85,2.91,0,17.21,19.41,23.16,0.78,41.34,0,44.02,8.78,18.51,0,0.83,1.44,0,0,32.49,15.77,69.96,0,35.76,9.87,34.48,0.96,3.75,10.35,49.04,0.2,46.81
20,51.39,5.07,21.28,2.74,0,5.11,6.65,6.5,41.69,22.65,0,8.69,3.6,67.68,0,0,1.63,114.92,34.37,0,87.07,139.37,0,3.26,0.39,32.03,0.16,0.39,4.12,17.56,13.45,0
21,11.97,2.69,8.07,2.24,0,47.29,0,5.7,15.39,11.94,8.26,16.99,9.83,9.55,0,83.47,14.7,2.04,13.81,202.82,0,28.4,0,313.21,119.36,39.53,9.74,18.91,2.16,1.67,0,39.29
22,0,1.77,33.79,3.37,0,7.05,2.28,3.11,7.67,6.35,0,3.19,1.72,0,0,0,1.2,349.67,11.9,34.21,9.79,0,0,2.27,0.05,5.24,0.03,1.53,1.72,5.49,2.67,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2.45,2.05,5.76,6.92,0,12.24,0,2.84,2.65,1.41,5.94,47.42,6.48,2.02,0,32.24,5.4,0.02,74.95,13.64,218.09,15.18,0,0,28.79,28.76,0.07,0.4,0.56,0.9,0,11.58
25,0.12,0.45,0.56,1.27,0,8.66,9.74,0.04,0.23,0.14,0.16,16,4.8,0.03,0,0.88,0.29,0.1,9.77,0.47,27.07,0.03,0,7.91,0,14.75,0.01,0.86,0,0,0,0.88
26,1.42,0.52,9.02,2.59,0,16.54,0,0.67,0.68,2.43,1.37,6.88,5.15,0.67,0,183.54,1.35,0.05,20.15,28.31,246.97,18.75,0,26.07,14.6,0,0.09,0.68,0.65,1.74,0,21.32
27,0.52,0.08,0,0,0,4.92,0,0.16,0.18,0.17,0.36,0.4,2.61,0.2,0,8.82,1.01,0.01,1.58,0.72,3.66,0,0,0.98,5.76,2.93,0,0.01,0,0,0,0.36
28,0.51,0.38,3.48,1.43,0,3.18,0,0.21,0.65,0.61,0.81,5.63,3.39,0.69,0,16.5,1.06,0.06,2.66,1.38,2.05,13.7,0,2.92,4.57,2.32,0.01,0,1.84,0.55,0,2.83
29,10.64,3.76,0.34,0,0,1.76,1.95,3.16,8.2,3.19,0,0.36,0.2,5.75,0,64.65,21.59,0.14,5.72,29.45,0.78,0.55,0,0.11,0,0.45,0,0.07,0,0.32,1.61,37.04
30,7.94,5.49,0,0.34,0,2.2,3.79,7.96,5.52,30.88,0,2.42,0.39,3.52,0,129.93,18.08,0.16,40.18,27.05,0.96,1.42,0,2.24,0,0.53,0,0,2.99,0,10.11,24.08
31,5.28,0,0,0,0,0,0,0,4.19,0,0,0,0,3.03,0,0.46,1.85,0.03,0,18.62,0,19.41,0,0,0,0,0,0,4.09,6.27,0,22.51
32,0,6.7,13.22,1.49,0,7.92,9.33,11.52,16.18,7.48,0,2.33,3.3,0,0,0,70.07,0,26.03,0,6.86,0,0,7.94,0.24,5.02,0.03,1.07,8.3,11.53,7.61,0
