HOVMID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0.74,16.7,1.49,0,1.02,0.14,3.49,37.95,3.56,0,1.16,0.6,0,0,192.09,86.12,102.07,26.17,147.62,2.58,0,0,0.06,0,1.07,0.07,0.14,0.32,5.17,0.32,0
2,7.12,0,6.05,0.66,0,0.31,0.93,1.57,6.91,9.57,2.99,0.64,0.2,5.6,0,24.22,29.58,22.01,28.7,33.69,1.38,6.32,0,0.11,0.74,0.02,0,0.17,1.79,2.61,0,14.3
3,16.91,6.1,0,5.21,0,17.04,14.38,4.54,14.45,23.08,15.03,71.5,7.3,8.62,0,113.99,25.9,21.42,179.89,107.38,25.83,8.39,0,12.9,1.52,29.43,0,8.22,1.54,0,0,83.99
4,1.52,0.66,5.21,0,0,6.27,0,0.23,1.5,2.06,1.48,8.76,3.67,0.83,0,16.69,2.57,2.26,22.59,14.22,6.08,5.8,0,23.1,13.65,8.79,0,3.15,0.01,0,0,9.39
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.02,0.4,17.14,6.3,0,0,0,0.41,2.48,3.76,1.76,17.59,14.01,1.68,0,87.09,23.48,10.78,76.74,62.19,58.22,4.88,0,54.79,65.41,49.49,0.4,8.27,0.48,0,0,27.33
7,3.28,0.56,14.29,0,0,0,0,0.57,2.9,5.38,0.89,13.47,0,2.08,0,41.35,31.2,21.04,43.06,47.79,0,2.72,0,0,42.21,0,0,0,3.28,0,0,16.6
8,11.55,1.59,4.54,0.23,0,0.32,0.97,0,10.88,17.22,5.19,1.76,0.38,8.01,0,49.34,44.68,34.58,22,47.58,2.2,25.41,0,0.2,0.08,0.03,0,0.09,4.83,3.34,0,28.14
9,38.21,0.57,14.32,1.49,0,1.6,0.48,2.4,0,4.54,0,1.67,0.59,15.37,0,0,0,0,0.01,133.43,3.53,156.39,0,0.36,0,1.46,0.07,0.45,2.44,6.99,1.86,57.9
10,10.24,15.24,22.81,2.04,0,4.22,15.45,24.84,12.05,0,0,4.69,0.94,4.91,0,91.39,51.78,48.49,76.43,98.2,20.82,70.67,0,6.05,0,2.97,0.05,2.2,3.06,65.36,0,36.37
11,0,3,14.92,1.48,0,1.64,1.36,5.14,0,0,0,2.8,0.64,0,0,0,0,0,0,0,4.37,0,0,2.98,0.26,1.43,0.01,0.63,0,0,0,0
12,1.01,0.65,70.68,8.65,0,16.66,13.35,1.78,1.49,2.3,2.8,0,2.23,0.71,0,24.97,12.99,3.68,85.42,36.81,12.26,0.28,0,69.82,54.02,7.84,0.08,7.1,0.32,0,0,3.62
13,0.95,0.26,7.22,3.63,0,13.83,0,0.42,0.87,0.86,0.7,2.21,0,0.53,0,5.96,12.33,3.09,12.64,13.97,23.74,0.42,0,11.89,17.68,6.22,0.05,4.94,0.09,0,0,2.58
14,0,0.23,8.52,0.82,0,1.04,0.23,0.69,15.3,2.33,0,0.86,0.49,0,0,0,22.82,157.27,8.64,191.46,1.61,0,0,0.03,0,0.4,0.06,0.35,0.77,6.85,0.7,0
15,0,8.92,141.17,20.54,0,79.61,30.23,32.22,0,78.56,0,25.59,7.01,0,0,0,0,0,0,0,1111.96,0,938.49,37.62,0,755.65,0.67,17.67,75.5,472.78,29.05,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,97.33,32.85,25.54,2.54,0,28.76,38.5,49.24,0,49.71,0,26.09,10.52,29.95,0,0,0,0,0,131.01,56.47,266.89,0,33.48,0,21.29,13.9,20.7,60.92,69.01,0,329.17
18,91.66,9.63,21.22,2.24,0,1.07,10.33,17.45,0,19.19,0,1.65,0.62,151.28,0,0,0,0,0,525.65,20.73,1863.46,0,1.66,0,1.83,0.02,0.33,22.83,38.78,5.37,0
19,44.79,34.53,156.81,19.14,0,75.12,50.47,27.19,0.01,79.37,0,97.28,11.71,27.2,0,0,0,0,0,130.81,93.86,195.28,0,104.71,20.12,87.88,2.56,23.83,21.71,126.75,0,129.29
20,167.41,39.21,99.87,13.1,0,66.27,57.5,53.39,151.91,94.66,0,54.63,20.48,195.83,0,0,159.99,535.9,127.14,0,337.37,388.11,0,49.71,0,115.69,18.49,32.74,77.05,101.74,79.02,0
21,2.96,1.92,25.57,6.03,0,50.79,0,2.88,3.78,7.02,5.17,11.22,19.72,1.73,0,843.07,41.95,31.82,79.14,335.37,0,3.09,0,839.05,113.15,912.06,13.7,24.2,2.53,0,0,49.22
22,0,14.13,8.34,4.19,0,16.01,13.1,33.88,171.08,70.88,0,0.16,0.25,0,0,0,329.26,1986.78,189.16,378.2,28.19,0,0,9.3,0,5.05,0.22,2.57,3.69,3.85,65.61,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3.37,1.17,12.95,22.87,0,61.28,0,1.28,2.26,6.44,4.6,84.02,11.93,1.06,0,60.57,36.63,24.17,156.06,52.82,830.6,7.69,0,0,50.95,84.14,0.23,11.92,2.25,0,0,24.65
25,0,0.77,1.51,15.12,0,63.05,38.41,0.1,0,0,0.28,55.7,11.31,0,0,0,0,0,18.03,0,119.16,0,0,37.82,0,59.87,2.29,26.68,0,0,0,0
26,1.91,0.07,29.53,8.77,0,47.4,0,0.1,2.18,2.09,1.57,8.19,5.86,0.94,0,764.92,14.93,3.91,83.09,116.09,758.32,4.31,0,73.12,60.79,0,0.11,7.58,0.28,0,0,27.52
27,0.02,0.06,0,0,0,3.78,0,0.07,0.01,0.21,0.08,0.07,0.05,0.01,0,13.95,12.22,1.42,1.3,14.69,25.06,0.15,0,0.25,10.73,0.3,0,0.03,0,0,0,0.28
28,0.03,0.17,8.25,3.16,0,2.6,0,0.1,0.35,1.29,0.65,7.15,4.29,0.25,0,26.16,8.24,0.05,9.77,18.87,23.63,1.23,0,3.1,25.31,6.59,0.04,0,0.21,0,0,3.64
29,10.55,1.7,1.53,0.01,0,0.08,2.87,4.58,9.13,0.66,0,0.23,0.09,1.58,0,89.65,59.59,49.27,15.27,76.54,2.43,2.89,0,0.06,0,0.27,0,0.01,0,0.33,0.07,51.79
30,15.05,11.64,0,0,0,0,0,15.71,13.33,73.93,0,0,0,8.68,0,310.94,86.76,85.3,141.09,118.28,0,3.99,0,0,0,0,0,0,0.42,0,27.98,68.3
31,8.39,0,0,0,0,0,0,0,8.07,0,0,0,0,3.17,0,0.05,0,27.37,0,80.29,0,65.34,0,0,0,0,0,0,1.94,20.54,0,40.83
32,0,20.12,82.53,9.21,0,34.57,27.4,35,71.14,36.05,0,12.16,3.01,0,0,0,327.94,0,124.37,0,68.71,0,0,23.88,0,34.18,0.63,7.7,55.21,60.23,40.13,0
