HOVNT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0,13.51,1.25,0,0.68,0.01,0,28.29,1.83,0,0.29,0.27,0,0,105.92,57.1,90.11,23.31,121.55,1.8,0,0,0,0.05,0.95,0,0,4.17,3.3,0,0
2,0,0,4.73,0.44,0,0.25,1.36,1.33,0.14,1.48,1.95,0.22,0.11,0.09,0,15.25,16.67,9.86,36.72,23.44,4.32,29.08,0,1.25,0.54,0.07,0,0.07,4.19,1.82,0,2.71
3,7.94,2.98,0,3.4,0,12.34,7.45,2.86,7.45,10.73,7.94,32.69,3.6,4.04,0,61.11,11.24,22.55,87.79,58.47,14.18,4.57,0,9.28,0.97,14.49,0,5.82,0.77,0,0,38.36
4,0.71,0.4,3.28,0,0,4.72,0,0.15,0.79,0.98,0.86,4,1.81,0.37,0,9.02,1.16,2.49,11.31,8.19,3.45,6.87,0,12.92,2.78,4.53,0,2.27,0.02,0.29,0,4.3
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.44,0.09,9.86,3.68,0,0,0,0.19,0.74,1.54,0.81,7.98,6.63,0.47,0,49.11,10.54,4.61,37.25,38.2,77.41,40.43,0,31.9,15.47,27.83,0.53,3.64,0.04,1.08,0,6.58
7,0.08,0.03,10.07,0,0,0,0,0,0.16,0.69,0,6.36,0,0.02,0,22.06,15.16,7.77,39.44,27.67,0,27.96,0,0,16.56,0,0,0,0.32,0.64,0,1.4
8,0,0.82,3.05,0.18,0,0.23,1.41,0,0.17,3.13,2.78,0.77,0.12,0.21,0,29.35,25.38,14.7,33.5,30.78,6.44,42.33,0,1.29,0.02,0.08,0,0.1,4.89,2.6,0,8.95
9,21.13,0.22,11.64,1.2,0,1.32,0.24,0.55,0,2.41,0,0.61,0.29,9.13,0,0,0,0,0,121.15,2.6,145.89,0,0.33,0.04,1.22,0,0.27,2.04,5.46,0.91,20.1
10,2.18,4.86,19.6,1.73,0,2.77,1.55,10.91,2.96,0,0,1.15,0.36,1.16,0,67.91,38.61,32.08,75.91,74.4,11.98,72.8,0,1.67,0.06,1.4,0,0.96,14.24,61.67,0,16.65
11,0,1.8,11.64,1.12,0,1.47,1.88,4.19,0,0,0,1.27,0.27,0,0,0,0,0,0,0,10.44,0,0,4.27,0.15,1.11,0,0.51,0,0,0,0
12,0.78,0.55,64.52,7.86,0,15.65,11,1.54,1.23,1.62,2.24,0,1.64,0.37,0,17.15,4.52,7.89,85.06,30.76,22,13.01,0,66.32,32.18,7.13,0,6.54,0.13,2.6,0,1.62
13,0.28,0.15,5.72,3.06,0,12.31,0,0.31,0.3,0.32,0.39,1.1,0,0.18,0,3.08,5.61,1.73,19.42,11.68,16.65,9.87,0,7.78,9.49,7.92,0.28,5.13,0.05,0.25,0,0.95
14,0,0.01,6.59,0.72,0,0.62,0.14,0.36,10.35,1.15,0,0.26,0.25,0,0,0,12.32,94.79,14.21,161.76,0.96,0,0,0.05,0.02,0.03,0,0.13,0.45,6.16,0.19,0
15,0,17.43,92.53,13.48,0,85.48,31.23,41.08,0,55.56,0,24.87,1.32,0,0,0,0,0,0,0,340.68,0,393.87,55.59,0.33,327.65,5.76,29.22,89.01,299.23,36.02,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,49.09,26.1,20.85,2.04,0,23.13,33.63,48.69,0,43.21,0,26.5,8.47,0.06,0,0,0,0,0,32.09,53.93,43.25,0,38.1,0.07,20.9,12.2,15.65,76.41,78.36,0,166.64
18,71.27,17.89,16.13,1.71,0,8.08,21.3,31.93,0,31.23,0,19.81,0.26,109.03,0,0,0,0,0,384.54,43.79,1058.89,0,23.06,0.06,10,0,1.04,53.53,61.46,31.35,0
