HOVPM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0.32,9.15,1.15,0,1.11,0.28,0.89,28.27,1.83,0,0.87,0.23,0,0,184.97,50,59.29,21.74,87.01,3.4,0,0,0.58,0.03,1.62,0.09,0.39,0.2,2.38,1.3,0
2,3.65,0,3.84,0.34,0,0.75,1.31,1.16,2.89,7.89,2,1.2,0.07,3.11,0,11.63,12.15,14.36,35.27,14.92,2.18,2.63,0,0.92,0.61,1.37,0,0.2,0.19,2.71,0,9.71
3,6.67,3.16,0,3.39,0,11.32,9.28,2.99,5.06,8.56,8.31,54.66,3.79,3.5,0,55.31,9.81,9.49,85.28,47.31,14.49,3.85,0,9.34,1.06,21.01,0,5.83,0.78,0,0,37.39
4,0.84,0.29,3.49,0,0,4.23,0,0.25,0.6,0.88,0.59,5.87,2.03,0.34,0,8.24,0.94,1,9.43,6.01,4.12,9.45,0,13.22,3.13,6.4,0,2.38,0,0,0,4.32
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.76,0.46,9.74,3.52,0,0,0,0.76,2.5,4.03,1.57,13.56,5.73,1.85,0,29.92,1.66,3.46,29.67,14.98,71.91,19.66,0,21.65,18.38,37.58,0.47,4.98,0.58,0,0,10.22
7,0.87,0.04,10.83,0,0,0,0,0.12,0.79,3.36,0.04,8.48,0,1.02,0,17.1,9.9,14.01,38.49,17.94,0,3.83,0,0,21.65,0,0,0,0,0,0,8.17
8,5.83,0.89,2.96,0.25,0,1.17,1.46,0,5.18,12.12,3.13,1.78,0,4.3,0,24.93,18.69,21.11,36.54,24.24,2.66,6.16,0,0.83,0.13,1.35,0,0.13,0.2,3.5,0,17.65
9,22.82,0.21,6.44,0.73,0,1.17,0.33,0.76,0,2.32,0,1.16,0.03,9.56,0,0,0,0,0,69.83,2.56,45.77,0,0.94,0.04,0.73,0.08,0.46,1.89,2.86,1.71,25.41
10,2.48,9.36,11.66,1.23,0,3.3,5.57,14.21,4.42,0,0,2.52,0.33,1.8,0,46.97,21.03,18.69,64.24,44.32,12.91,17.81,0,0.87,0.03,5.43,0.1,2.05,0.63,37.68,0,18.4
11,0,1.83,7.22,0.55,0,0.87,1.49,3.96,0,0,0,0.65,0.34,0,0,0,0,0,0,0,3.51,0,0,2.07,0.11,2.16,0.4,0.8,0,0,0,0
12,2.1,1.96,77.38,8.25,0,19.69,11.26,4.11,3.1,4.79,3.45,0,4.36,1.23,0,6.56,1.66,0.37,73.34,8.34,12.97,7.27,0,61.48,30.29,13.82,2.6,9.94,0.61,0,0,5.57
13,0.96,0.18,4.91,2.68,0,8.15,0,0.11,0.64,1.12,0.55,3.15,0,0.67,0,1.54,0.88,0.58,12.18,3.69,11.39,3.06,0,10.26,6.25,6.66,0.1,4.28,0.29,0,0,2.58
14,0,0.21,4.68,0.5,0,0.77,0.39,0.47,10.95,1.69,0,0.41,0.14,0,0,0,4.01,58.25,18.33,117.29,1.63,0,0,0.42,0,0.67,0,0.51,1.22,4.26,0.98,0
15,0,21.7,67.49,10.15,0,62.91,33.43,47.59,0,56.36,0,25.32,1.34,0,0,0,0,0,0,0,826.3,0,344.48,46.96,0.17,520.28,9.26,25.55,109.84,217.44,9.49,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,58.47,17.23,14.09,1.42,0,7.41,22.52,30.1,0,28.93,0,14.64,1.35,2.64,0,0,0,0,0,29.38,34.74,56.21,0,19.03,0.05,8.51,0.41,2.47,39.03,29.78,0,186.93
18,33.1,1.69,9.57,1.02,0,2.34,1.2,2.48,0,3.73,0,2.62,0.54,64.07,0,0,0,0,0,246.63,2.47,889.02,0,0.36,0.02,3.73,0.06,2.49,1.27,5.41,1.37,0
19,25.09,23.39,115.21,14.07,0,46.82,29.86,22.62,19.33,46.75,0,58.91,5.87,17.29,0,0,0,0.34,0,70.22,63.83,58.06,0,77.2,11.04,60.28,0.29,10.05,11.52,73.68,0,82.11
20,90.14,22.54,54.21,7.66,0,28.47,27.41,34.54,83.07,46.8,0,22.08,2.63,111.17,0,0,82.43,244.45,62.49,0,293.54,138.76,0,26.19,0.09,62.49,0.57,7.56,46.06,38.05,42.31,0
21,2.67,0.33,18.46,5.32,0,47.34,0,0.15,2.19,3.04,1.43,4.47,15.12,1.41,0,393.8,12.08,19.44,45.21,207.21,0,32.24,0,452.9,103.82,789.11,15,20.64,0.17,0,0,27.84
22,0,5,4.65,6.27,0,31.49,7.95,12.36,95.17,19.2,0,6.04,2.83,0,0,0,210.2,1251.06,79.06,213.6,27.8,0,0,11.29,0.03,21.64,1.57,14.16,18.67,2.32,20.83,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.79,0.27,8.2,16.28,0,45.27,0,0.62,0.92,4.81,0.76,52.62,7.97,0.61,0,29.49,12.71,18.09,101.49,20.98,476.37,3.62,0,0,25.49,52.75,2.76,5.85,0.22,0,0,13.02
25,0,0.48,1.14,9.79,0,35,28.22,0.06,0,0,0.03,28.98,3.47,0,0,0,0,0.2,11.73,0.18,92.1,0,0,35.98,0,24.43,3.25,6.84,0,0,0,0.1
