LOVPM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,1.69,32.42,4.3,0,4.45,1.09,3.05,80.6,6.12,0,2.23,1.09,0,0,415.44,174.97,198.06,79.18,313.23,5.1,0,0,2.36,0.08,6.19,0.27,1.62,2.17,8.34,4.4,0
2,12.95,0,13.76,1.3,0,3.11,4.08,4.19,12.81,27.48,7.16,3.31,0.33,11.37,0,39.63,47.52,61.22,124.04,61.04,6.64,7.75,0,2.87,2.52,5.06,0.1,0.6,1.02,10.2,0,33.79
3,17.93,10.91,0,10.36,0,36.23,27.24,9.65,14.68,23.43,23.63,118.05,11.37,9.83,0,131.29,27.87,27.62,234.62,139.34,29.84,11.46,0,27.18,3.62,53.9,0,18,2.35,0,0,91.07
4,2.22,0.9,11.17,0,0,12.87,0,0.88,1.66,2.46,1.9,12.41,5.44,1.02,0,19.05,2.67,3.02,27.28,18.16,8.05,19.41,0,37.86,10.83,16.4,0,6.59,0,0,0,10.17
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.75,1.56,29.31,9.72,0,0,0,2.05,6.26,9.41,4.63,26.98,14.91,4.63,0,54.52,4,8.82,75.57,40.7,133.85,37.71,0,56.69,46.29,74.02,1.12,13.94,1.11,0,0,22.73
7,2.72,0.12,35.07,0,0,0,0,0.61,2.82,10.81,0.52,20.02,0,3.37,0,44.65,30.91,45.81,124.88,58.62,0,9.98,0,0,80.57,0,0,0,0.56,0,0,22.09
8,14.76,2.78,8.12,0.59,0,3.06,4.18,0,12.68,29.68,7.69,3.63,0.1,11.23,0,58.45,50.73,57.77,94.62,62.17,5.01,14.47,0,2.96,0.72,3.67,0.1,0.42,0.6,9.95,0,43.74
9,59.34,1.27,21.37,2.23,0,4.92,1.38,2.94,0,6.92,0,2.4,0.5,25.85,0,0.01,0,0,0,225.99,3.72,130.78,0,3.17,0.11,3.84,0.08,1.3,7.29,11.46,5.6,65.3
10,8.25,32.83,38.77,4.01,0,11.32,19.34,42.92,14.65,0,0,6.94,1.34,5.83,0,132.71,79.48,69.32,216.11,166.52,28.24,48.88,0,3.19,0.12,22.32,0.3,6.84,1.94,122.77,0,55.99
11,0,5.94,22.55,2.01,0,2.73,4.22,11.67,0,0,0,1.45,1.8,0,0,0,0,0,0,0,6.61,0,0,8.23,0.38,6.69,1.3,2.5,0,0,0,0
12,6.01,5.18,177.48,18.75,0,44.55,27.32,10.1,8.49,12.46,8.92,0,10.08,3.81,0,16.73,4.98,1.01,176.55,29.82,24.83,19.44,0,149,85.54,34.43,6.08,21.61,1.48,0,0,14.95
13,2.56,0.83,26.12,9.27,0,32.1,0,1.3,2.81,4.89,4.82,8.55,0,2.21,0,5.9,2.9,1.86,50.36,12.48,26.04,8.04,0,39.13,41.17,25.94,0.39,13.07,0.9,0,0,7.48
