LOVMID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,4.11,14.46,4.53,0,1.93,2.32,9.63,111.19,9.66,0,1.82,1.2,0,0,385.5,284.96,313.47,75.25,341.14,1.17,0,0,0.14,0.87,5.1,0.19,1.11,0.82,32.7,3.05,0
2,27.62,0,7.86,1.14,0,1.65,4.7,5.81,25.74,36.09,12.22,1.4,1.29,22,0,93.6,127.23,93.62,95.57,136,3.21,19.82,0,3.64,0.7,1.24,0.01,0.49,15.18,4.05,0,51.85
3,14.83,7.97,0,5.74,0,26.45,19.5,4.69,12.95,16.86,13.43,38.5,16.1,8.12,0,115.01,34.35,46.19,118.95,124.91,24.72,91.01,0,15.07,2.1,30.86,0,19.45,2.41,0,0,61.71
4,4.63,1.19,5.75,0,0,16.98,0,1.37,4.05,4.79,4.17,13.82,9.82,2.61,0,54.22,11.21,15.95,40.55,50.57,11.41,34.72,0,58.82,6,19.72,0,10.05,0.7,3.18,0,20.32
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4.49,1.89,30.61,17.23,0,0,0,1.13,5.6,5.01,3.01,14.37,33.4,3.77,0,212.09,76.13,64.89,139.67,199.12,187.33,49.14,0,112.92,62.52,86.97,1.14,22.17,1.93,10.47,0,49.83
7,11.88,3.21,19.33,0,0,0,0,2,10.35,17.53,5.46,29.43,0,6.97,0,139.06,111.52,94.05,106.1,164.77,0,38.12,0,0,84.33,0,0,0,7.91,8.22,0,49.95
8,32.04,5.93,4.74,1.42,0,0.94,3.44,0,28.29,43.1,13.82,2,0.59,23.3,0,152.21,131.49,101.68,55.65,157.52,3.6,57.04,0,2.14,0.2,0.65,0.02,0.57,22.58,4.16,0,79.26
9,112.78,3.01,12.81,3.95,0,3.47,3.15,6.66,0,10.45,0,2.37,1.52,46.06,0,0,0,0,61.4,443.55,2.25,346.4,0,1.38,1.33,2.78,0.17,2.01,0.68,54.19,6.12,150.32
10,32.32,57.89,16.51,4.63,0,6.14,48.59,62.44,32.41,0,0,9.79,1.86,14.59,0,210.95,179.93,153.18,196.71,304.5,41.49,164.09,0,13.56,1.28,6.19,0.15,4.4,19.18,109.67,0,99.57
11,0,12.29,13.31,4.15,0,2.68,6.86,13.56,0,0,0,2.26,1.77,0,0,0,0,0,0,0,4.52,0,0,13.4,0.3,2.22,0.03,1.49,0,0,0,0
12,1.4,1.47,37.98,13.54,0,12.58,29.26,2.03,2.01,3.09,2.29,0,3.45,0.89,0,47.48,50.74,34.23,90.68,102.06,12.04,29.94,0,116.35,57.39,5.75,0.17,5.75,0.37,11.53,0,4.29
13,2.41,1.45,19.66,9.55,0,32.09,0,0.79,2.3,1.6,1.99,3.37,0,0.84,0,15.09,42.9,16.68,11.84,42.18,50.51,11.7,0,23.92,34.55,13.14,0.21,10.88,0.25,2.6,0,4.79
14,0,1.08,7.96,2.52,0,1.86,1.63,1.83,45.53,6.61,0,1.21,0.67,0,0,0,44.61,366.04,25.6,588,0.15,0,0,0.76,0.62,2.8,0.17,1.12,0.53,27.02,2.78,0
15,0,48.79,153.21,69.42,0,228.18,129.85,95.02,0,170.98,0,56.91,21.47,0,0,0,0,0,293.3,0,208.17,0,1642,93.25,13.11,476.99,1.55,50.06,201.76,1339.71,102.52,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,324.34,139.92,33.59,11,0,88.42,133.69,141.79,0,171.12,0,91.97,36.95,74.11,0,0,0,0,0,206.22,118.56,136.81,0,91.79,3,89.1,41.52,60,174.52,290.07,44.28,926.06
18,259.45,41.47,31.32,10.53,0,18.66,47.22,48.84,0,58.37,0,14.33,5.36,355.25,0,0,0,0,57.73,2020.42,31.14,5136.04,0,13.15,1.95,39.83,0.07,9.99,61.6,138.71,15.39,0
19,130.38,118.52,95.91,29.62,0,130.21,127.1,84.98,62.37,208.9,0,129.08,9.75,78.8,0,0,0,59.24,0,521.47,112.87,424.57,0,249.68,9.46,202.15,7.49,41.97,96.26,248.25,0,390.93
20,392.26,154.1,114.87,46.23,0,200.39,187.57,169.21,497.79,295.79,0,144.87,64.98,597.49,0,0,292.93,2072.49,485.79,0,405.05,1023.12,0,131.21,8.9,355.66,48.8,100.53,221.7,383.36,252.73,0
21,2.45,5.11,25.27,11.11,0,106.51,0,5.12,2.75,8.99,6.07,10.24,40.65,0.63,0,183.79,89.51,52.74,93.61,381.94,0,41.44,0,456.43,118.38,74.95,31.05,46.88,8.46,9.42,0,50.82
22,0,43.45,89.72,34.13,0,66.23,60.38,78.21,391.48,169.27,0,28.57,11.01,0,0,0,275.05,5716.19,413.7,977.78,70.27,0,0,33.85,0.8,70.98,0.46,21.75,30.85,137.66,154.01,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
