LOVPM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,1.79,10.65,4.1,0,4.13,2.47,2.42,81.32,7.88,0,1.83,0.91,0,0,368.5,165.58,198.06,116.14,303.28,2.43,0,0,3.17,0,2.74,0.27,1.88,0.67,18.06,4.02,0
2,13.16,0,5.45,1.02,0,3.35,5.22,3.43,13.42,26.56,7.27,2.26,0.59,11.37,0,40.62,51.58,64.44,120.71,61.95,5.68,11.62,0,4.82,0.78,6.78,0.1,0.79,0.59,9.6,0,32.79
3,6.77,4.76,0,4.03,0,12.97,11.63,3.68,5.9,7.78,7.75,27.3,4.12,2.83,0,40.35,16.12,18.43,70.95,54.28,9.79,51.5,0,10.6,0.77,15.21,0,6.96,1.14,0,0,26.61
4,2.24,0.57,3.59,0,0,12.44,0,1.56,1.99,2.46,2.17,8.69,4.64,0.89,0,19.66,4.45,7.77,22.48,21.53,7.23,18.23,0,37.52,8.1,12.42,0,6.91,0.25,1.45,0,9.14
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7.01,2.03,10.29,9.35,0,0,0,1.78,6.53,8.88,4.23,10.46,12.37,4.6,0,54.52,9.5,11.04,67.64,46.79,114.94,24.89,0,45.48,31.38,58.93,1.12,12.55,1.36,5.13,0,15.38
7,4.13,0.81,14.35,0,0,0,0,0.95,3.94,10.8,2.9,16.69,0,3.17,0,46.73,36.94,55.44,126.13,68.63,0,16.29,0,0,74.31,0,0,0,0.46,5.86,0,22.57
8,14.25,2.42,2.94,1.57,0,2.35,4.06,0,12.46,28.32,7.15,1.63,0.12,11.11,0,58.45,50.73,60.62,94.8,62.17,5.01,14.23,0,2.79,0.75,3.1,0.1,0.13,0.74,8.73,0,42.8
9,59.35,1.99,7.62,2.72,0,4.34,2.17,2.33,0,7.19,0,1.9,0.26,26.25,0,0,0,0,19.49,230.78,1.5,143.25,0,2.79,0,1.28,0.08,1.35,0.63,20.22,5.83,49.07
10,8.69,31.94,11.61,3.85,0,9.37,18.54,40.55,14.2,0,0,4.33,1.1,4.69,0,87.48,77.25,87.94,203.31,162.18,25.66,39.9,0,1.89,0,16.78,0.3,7.64,0.02,92.09,0,48.61
11,0,7.27,9.14,2.44,0,5.61,6.17,11.52,0,0,0,1.45,2.07,0,0,0,0,0,0,0,8.29,0,0,23.41,0.81,10.25,1.3,3.36,0,0,0,0
12,5.3,3.91,38.75,12.81,0,17.2,20.38,6.66,7.4,9.57,6.28,0,7.22,2.72,0,0.13,12.1,8.86,116.17,27.34,16.73,19.51,0,127.11,40.41,15.8,6.08,11.42,1.16,10.2,0,12.52
13,2.06,0.68,7.78,7.55,0,26.64,0,0.65,2.63,3.67,4.57,6.27,0,2.12,0,4.4,4.99,5.23,44.75,14.98,23.51,6.42,0,33.62,35.21,16.62,0.39,11.98,0.34,1.8,0,6.81
14,0,1.08,5.04,1.78,0,2.11,1.52,1.86,33.26,4.78,0,0.86,0.34,0,0,0,1.75,173.61,75.57,340.59,1.25,0,0,1.97,0,1.47,0.16,1.85,0.67,23.74,3.13,0
15,0,117.02,114.41,56.34,0,269.11,139.22,225.63,0,185.54,0,89.84,12,0,0,0,0,0,0,0,353.25,0,551.15,179.04,0,420.37,35.37,98.05,488.62,1066.24,186.29,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,176.66,76.29,17.8,5.79,0,27.76,85.74,112.39,0,116.85,0,55.9,4.75,3.41,0,0,0,0,0,86.71,89.06,0.71,0,68.51,0,39.23,1.47,9.07,131.42,166.85,0,471.47
18,104.14,8.82,15.15,5.35,0,14.32,9.12,13.32,0,17.84,0,9.94,1.81,161.85,0,0,0,0,0,928.52,4.85,2682.3,0,5.05,0,24.61,0.25,11.03,4.38,58.46,9.52,0
19,70.24,81.64,88.54,32.35,0,117.34,83.51,72.13,67.79,114.03,0,79.76,7.09,47.62,0,0,0,26.28,0,224.59,55.01,135.92,0,245.09,1.4,127.37,0.86,20.33,40.16,207.28,0,177.48
20,286.6,95.14,69.5,29.22,0,109.43,99.56,135.97,311.98,152.45,0,64.65,7.13,344.3,0,0,233.12,949.82,340.03,0,269.86,388.68,0,99.2,0,166.3,1.93,32.63,166.84,194.32,164.03,0
21,2.39,0.72,14.97,12.86,0,130.52,0,0.72,3.58,4.86,3.31,2.95,37.14,1.46,0,154.57,29.71,37.24,117,235.56,0,18.47,0,388.07,120.74,102.2,35.62,55.76,0.39,9.9,0,21.97
22,0,18.9,4.54,27.42,0,120.9,45.39,38.44,250.42,50.14,0,32.48,12.17,0,0,0,276.46,2971.4,318.92,596.08,44.64,0,0,68.41,0,92.77,3.44,58.16,13.41,3.14,73.28,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1883.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2.33,2.75,8.43,38.28,0,115.04,0,2.13,2.11,11.26,5.41,89.84,15.66,1.73,0,57.66,36.84,46.17,210.71,56.06,310.92,7.56,0,0,69.81,106.05,6.93,14.2,1.27,3.65,0,31.81
25,1.36,0.76,0.72,6.74,0,76.15,68.81,0.09,1.24,1.05,0.1,51.06,6.1,1.26,0,3.44,1.24,2.59,5.54,4.74,76.57,0.58,0,80.03,0,50.1,7.11,14.51,0.22,0,0,2.18
26,8.87,4.11,23.88,17.88,0,115.88,0,5.84,9.35,12.97,6.34,9.24,14.78,6.39,0,235.97,20.95,58.7,180.84,201.91,122.29,31.48,0,145.41,89.27,0,14.47,38.47,3.51,13.08,0,16.09
