HOVAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,1.68,1.93,0,0,0.01,0.53,2.25,10.32,0.02,0,0.01,0.11,0,0,63.21,11.77,2.29,2.38,21.9,0.82,0,0,0.89,0.04,0.38,0,0.12,0.21,1.44,0.02,0
2,5.56,0,0.67,0,0,0,0.24,0.28,4.11,4.9,0.95,0.25,0,3.38,0,12.91,6.74,0.02,4.7,7.41,0.18,3.56,0,1.03,0.01,0.01,0,0,0.39,1.08,0,6.91
3,4.27,1.03,0,0,0,0,0,0.6,2.83,0,0,0,0.89,2,0,0,6.39,3.83,0,21.87,3.54,1.82,0,4.29,0.19,3.88,0,0.98,0,0,0,22.1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.1,0.29,0,0,0,0,0,0.43,0.1,0.08,0.33,0.31,2.46,0.09,0,42.52,0.24,0.03,4.61,15.23,35.87,0.01,0,31.41,25.03,20.75,0.03,0.03,0.1,0,0,6.37
7,2.14,1.78,1.93,0,0,0,0,1.83,2.31,0.71,1.82,4.63,0,2.01,0,16.67,4.36,0.26,5.38,7.88,0,11.85,0,0,17.04,0,0,0,1.92,0.62,0,5.88
8,7.53,0.73,0.73,0,0,0.04,0.23,0,7.45,7.97,2.24,0.27,0.3,5.84,0,29.51,11.42,1.92,8.89,17.26,0.02,24.26,0,1.27,0.04,0.02,0,0.03,3.08,3.34,0.02,15.81
9,19.05,1.39,1.91,0,0,0.01,0.49,2.39,0,0.14,0,0.01,0.06,6.87,0,0,0,0,2.24,31.72,0.57,58.35,0,1.07,0.04,0.68,0,0.12,0.19,3.69,0.02,30.67
10,3.78,6.14,0,0,0,3.92,5.85,9.3,3.33,0,0,1.4,2.02,2.03,0,21.09,7.76,0.05,11.64,12.58,1.93,4.39,0,4.55,0.1,1.3,0.02,0.35,3.75,3.99,0,9.69
11,0,1.21,0,0,0,0.27,0.3,1.32,0,0,0,0.28,0.02,0,0,0,0,0,0,0,0.03,0,0,0.2,0.03,0.03,0,0,0,0,0,0
12,0.12,0.11,0.02,0,0,0.87,2.28,0.14,0.16,0.03,0.13,0,0.39,0.06,0,10.98,0.09,0.02,2.64,1.99,0.16,0,0,10.71,11.57,0.15,0.01,0.08,0.1,0,0,0.1
13,0.14,0.1,0.54,0,0,1.01,0,0.16,0.08,0.09,0.09,0.22,0,0.02,0,0.18,0.26,0.16,0.33,0.33,0.54,2.95,0,1.79,0.47,0.71,0,0.5,0,0.2,0,0.72
14,0,1,0.92,0,0,0.01,0.41,0.46,4.91,0.01,0,0,0.07,0,0,0,0,0.19,2.12,49.53,0.4,0,0,0.66,0.04,0.12,0,0.1,0.18,1.82,0.01,0
15,0,8.91,0,0,0,23.5,15.77,15.77,0,16.61,0,7.72,4.05,0,0,0,0,0,25.9,0,64.41,0,434.76,17.48,0.12,101.21,0.55,1.05,12.29,56.35,16.61,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,21.29,2.16,4.21,0,0,1.81,2.09,3.05,0,1.92,0,0.57,1.35,0.99,0,0,0,0,0,20.9,0.53,86.23,0,4.31,0.2,1.59,0.01,0.35,1.97,11.12,0.03,107.88
18,23.29,2.22,2.3,0,0,0.67,0.29,3.2,0,0.04,0,0.24,0.2,22.89,0,0,0,0,2.74,127.67,0.63,782.66,0,1.92,0.12,0.58,0,0.17,0.03,7.04,0.02,0
19,21.12,19.18,0,0,0,16.52,18.94,22.58,0.78,34.21,0,29.3,6.99,17.99,0,0.83,1.44,0,0,32.49,15.77,54.39,0,33.67,4.46,33.85,0.96,3.5,10.09,47.39,0.2,37.58
20,48.4,5.88,14.53,0,0,3.46,5.21,6.95,39.35,10.68,0,1.51,2.83,64.36,0,0,1.21,96.46,34.37,0,68.1,105.97,0,11.36,0.29,31.92,0.16,1.47,3.93,17.4,7.56,0
21,11.63,2.47,1.95,0,0,35.24,0,5.63,14.79,9.7,6.38,12.66,9.46,9.17,0,8.84,14.82,0.62,6.53,146.89,0,28.6,0,263.35,39.27,7.72,9.74,18.61,2.03,1.19,0,29.36
