LOVAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,8.24,6.93,0,0,0.02,1.99,7.29,33.41,0.08,0,0.01,0.66,0,0,299.02,47.47,9.4,8,93.79,2.25,0,0,3.51,0.03,1.63,0.01,0.43,0.72,3.28,0.05,0
2,27.06,0,2.85,0,0,0.01,1.05,1.35,20.95,21.38,4.06,0.73,0.01,16.19,0,85.47,38.18,0.08,26.77,41.89,0.77,14.06,0,5.07,0.03,0.04,0.01,0.02,7.46,5.92,0.07,37.48
3,17.91,4.35,0,0,0,7.37,0,1.65,10.75,0,0,0.02,13.86,8.78,0,0,27.81,17.1,0,101.03,17.79,6.12,0,15.31,1.14,21.01,0,3.09,0,0,0,94.37
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.48,1.24,0.76,0,0,0,0,1.08,0.4,0.38,1.24,0.78,16.57,0.41,0,219.53,1.2,0.18,22.18,73.02,143.2,0.05,0,100.62,61.53,76.8,0.09,0.11,0.3,0,0,30.02
7,9.48,7.31,6.63,0,0,0,0,6.87,8.71,3.06,6.33,11.84,0,8.39,0,89.03,20.73,0.56,23.65,34.97,0,30.41,0,0,46.07,0,0,0,4.99,2.25,0,26.68
8,33.91,2.96,3.07,0,0,0.11,1.16,0,28.52,28.7,7.8,0.76,1.55,28.46,0,180.91,54.43,12.2,45.26,91.31,0.98,71.7,0,5.18,0.19,1.3,0.01,0.39,10.87,12.56,0.08,80.5
9,66.02,8.46,7.34,0,0,0.01,2.14,6.98,0,0.57,0,0.03,0.56,26.93,0,0,0,0,8.36,174.62,3.03,166.91,0,4.96,0.08,2.53,0.01,0.41,0.74,14.59,0.06,139.67
10,16.86,29.81,0,0,0,12.35,24.58,27.73,13.19,0,0,4.2,14.02,9.77,0,128.84,38.75,0.27,42.49,58.89,7.33,12.63,0,14.95,0.5,6,0.05,1.21,20.63,12.99,0,44.96
11,0,4.95,0,0,0,0.78,1.25,3.7,0,0,0,0.8,1.05,0,0,0,0,0,0,0,0.09,0,0,0.57,0.16,0.14,0.02,0.02,0,0,0,0
12,0.62,0.34,0.13,0,0,1.95,6.44,0.31,0.57,0.1,0.35,0,1.53,0.22,0,57.65,0.48,0.08,9.11,8.39,0.5,0.03,0,27.72,30.73,0.51,0.03,0.18,0.51,0,0,0.46
13,0.96,0.27,2.77,0,0,3.38,0,0.34,0.27,0.26,0.79,0.51,0,0.02,0,0.81,1.35,0.4,1.77,2.41,1.47,7.16,0,4.36,1.3,2.26,0.02,1.19,0,0.57,0,3.12
14,0,5.13,3.87,0,0,0.01,1.69,1.36,16.41,0.04,0,0.01,0.04,0,0,0,0.01,0.73,7.39,203.96,0.75,0,0,2.87,0.03,1.52,0.01,0.34,0.73,5.18,0.03,0
15,0,47.94,0,0,0,57.09,53.75,48.86,0,68.41,0,21.34,16.14,0,0,0,0,0,74.87,0,74.63,0,1591.06,45.98,0.83,166.06,1.61,2.7,44.71,154.12,47.29,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,93.02,12.62,16.34,0,0,5.91,8.25,10.63,0,9.73,0,2.16,7.57,4.91,0,0,0,0,0,121.56,1.97,237.52,0,16.19,0.59,7.78,0.02,1.47,8.35,42.19,0.1,489.19
