LOVNT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0,63.65,3.66,0,1.13,0,0,72.32,5.04,0,0.31,0.83,0,0,202.98,124.57,264.84,66.98,312.72,3.1,0,0,0,0,2.97,0,0,10.65,8.29,0,0
2,0,0,13.83,1.3,0,0.63,4.84,3.51,0.97,5.5,5.98,0.89,0.26,0.33,0,61.85,72.8,59.1,118.52,94.24,15.76,138.38,0,4.12,1.68,0.27,0,0.03,15.32,5.71,0,11.53
3,43.15,10.47,0,9.73,0,33.32,22.55,7.76,38.12,31.03,23.67,78.63,15.47,21.82,0,232.91,64.8,131.06,258.76,356.09,43.45,22.09,0,23.26,2.59,51.7,0,18.45,5.06,0,0,225.22
4,2.6,1.03,9.76,0,0,12.59,0,0.68,2.53,2.79,2.54,9.12,5.65,1.2,0,32.5,4,8.83,32.1,27.9,9.85,15.52,0,32.04,11.09,14.56,0,5.77,0.62,0,0,14.01
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.12,0.67,38.51,10.55,0,0,0,0.65,2.57,4.19,2.56,17.97,21.08,0.66,0,153.83,35.08,16.78,109.68,125.39,214.61,84.11,0,72.97,50.21,81.66,1.48,9.61,0.49,0,0,21.05
7,0,0.1,28.02,0,0,0,0,0.08,0.71,1.82,0.88,16.68,0,0,0,67.28,55.25,26.15,115.1,94.68,0,67.48,0,0,54.6,0,0,0,0.67,0,0,4.98
8,0,2.43,7.82,0.75,0,0.62,4.82,0,0.58,8.15,7.62,2.03,0.3,0.66,0,111.6,82.06,70.62,101.02,113.26,19.25,165.99,0,3.89,0,1.39,0,0.15,15.13,7.79,0,32.26
9,58.11,0.97,53.89,3.4,0,3.76,0.78,1.39,0,7.75,0,1.92,0.94,25.43,0,0,0,0,0,383.58,4.15,387.84,0,1.2,0,4.89,0,0.85,7.62,24.7,3.17,66.58
10,6.13,15.32,49.48,4.39,0,6.59,4.49,26.04,9.31,0,0,3.61,0.9,3.09,0,189.78,129.39,99.71,199.2,239.81,28.26,220.2,0,3.69,0,8.14,0,1.86,36.37,158.86,0,59.45
