LOVNT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0.74,11.01,3.59,0,1.23,0.78,0.23,77.12,5.19,0,0.39,0.27,0,0,224.41,177.95,264.84,93.03,312.55,2.03,0,0,0,0.56,4.3,0,0.29,10.44,26.82,0.2,0
2,0.87,0,4.94,0.95,0,1.25,5.49,4.1,1.39,5.48,7.38,0.55,0.77,0.41,0,61.85,76.41,42.1,115.46,100.58,15.26,90.64,0,5.78,0.52,0.77,0,0.29,15.42,4.69,0,10.22
3,7.58,3.82,0,3.57,0,13.16,10.19,3.3,7.12,8.55,7.64,18.63,5.05,4.21,0,72.69,17.46,26.58,66.85,77.16,16.63,41.59,0,10.65,1.04,15.79,0,9.13,1.3,0,0,32.45
4,2.51,0.62,3.3,0,0,11.87,0,0.89,2.16,2.53,2.37,6.69,5.16,1.41,0,35.65,5.99,9.22,21.95,33.4,7.43,16.83,0,35.68,4.1,14.05,0,6.6,0.57,1.82,0,11.37
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.1,1.15,20.44,9.69,0,0,0,0.77,2.16,2.05,1.82,7.59,18.13,0.82,0,153.83,41.15,17.32,109.68,143.1,148.63,81.39,0,71.86,28.08,77.2,1.48,9.53,1.06,5.65,0,8.09
7,0.9,0.92,12.27,0,0,0,0,0.37,1.5,2.55,2.22,14.91,0,0.46,0,80.32,60.43,33.14,116.07,112.84,0,77.06,0,0,49,0,0,0,2.06,5.14,0,5.26
8,0.24,2.87,2.91,0.83,0,0.47,4.92,0,1.24,7.45,7.56,0.82,0.38,0.77,0,111.6,82.06,47.51,95.72,120.81,19.05,108.47,0,4.29,0.02,0.52,0,0.44,15.24,4.55,0,29.91
9,61.62,1.53,9.37,2.96,0,2.96,1.39,2.19,0,5.92,0,1,0.98,26.7,0,0,0,0,48.33,402.27,1.68,350.22,0,1.3,0.95,2.8,0,1.61,0.76,44.89,3.58,55.34
10,5.41,14.94,13.03,3.93,0,3.2,4.61,24.8,6.78,0,0,1.72,0.24,3.33,0,155.87,127.14,96.21,192.7,239.71,24.24,188.38,0,2.93,1.09,4.27,0,1.4,35.6,126.82,0,48.59
11,0,6.85,9.26,2.84,0,2.82,6.75,10.59,0,0,0,1.02,0.93,0,0,0,0,0,0,0,18.87,0,0,16.51,0.06,3.8,0,1.53,0,0,0,0
12,0.98,0.83,31.68,11.79,0,11.07,20.44,1.63,1.44,2.14,1.42,0,1.79,0.44,0,29.96,22.33,14.66,129.91,82.02,36.6,51.57,0,108.48,39.63,6.01,0,5.07,1.6,9.04,0,1.76
13,0.39,0.89,16.36,7.66,0,29.02,0,0.74,1.03,0.36,1.17,1.82,0,0.36,0,6.65,21.31,5.36,50.73,39.64,37.62,27.62,0,20.32,22.07,26.23,1.02,11.65,0.62,2.25,0,1.93
14,0,0.4,5.65,1.87,0,0.88,0.6,0.97,28.98,3.16,0,0.36,0.3,0,0,0,31.2,304.69,52.88,394.03,0,0,0,0.54,0.4,1.89,0,0.51,0,26.73,0.9,0
15,0,71.88,111.39,53.23,0,230.7,105.69,146.71,0,156.13,0,76.13,6.32,0,0,0,0,0,272.58,0,95.88,0,826.24,151.91,8.82,324.67,15.7,74.76,281.77,1297.55,168.58,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,168.71,94.09,23.84,8.12,0,71.23,108.89,133.11,0,160.19,0,84.97,25.85,0.24,0,0,0,0,0,143.03,122.13,132.4,0,101.15,2.22,101.72,35.94,44.58,200.64,314.62,31.55,527.49
18,223.12,63.48,23.79,8.96,0,36.9,74.91,90.58,0,107.41,0,62.54,3.38,282.79,0,0,0,0,43.08,1268.88,86.61,2734.75,0,65.39,1.58,70.86,0.01,10.83,138.81,222.93,87.94,0
