HOVPM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0.29,3.19,1.12,0,1.32,0.73,0.77,28.27,2.6,0,0.73,0.22,0,0,164.57,47.99,60.79,32.92,82.62,1.61,0,0,1.04,0.21,0.85,0.09,0.71,0.2,5.28,1.22,0
2,3.68,0,1.7,0.28,0,0.88,1.56,0.98,3.09,7.67,2.12,0.72,0.19,3.11,0,11.88,13.25,15.69,33.93,14.69,1.91,3.68,0,1.25,0.24,1.3,0,0.32,0.1,2.48,0,9.67
3,2.46,1.51,0,1.37,0,4.04,4.09,1.08,2.04,2.92,2.69,12.24,1.09,1.02,0,18.75,5.68,6.29,22.92,18.52,4.04,23.8,0,3.89,0.25,5.27,0,2.13,0.36,0,0,10.98
4,0.77,0.2,1.29,0,0,4.07,0,0.48,0.63,0.85,0.61,3.93,1.61,0.33,0,8.95,1.46,2.91,7.12,7.1,3.48,9.21,0,12.92,1.5,4.59,0,2.39,0.26,0.45,0,4.09
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.95,0.54,3.3,3.39,0,0,0,0.56,2.57,3.78,1.64,5.04,4.85,1.79,0,30.53,3.99,4.7,29.44,17.37,56.88,14.57,0,21.65,12.26,24.79,0.47,4.53,0.76,1.92,0,7.07
7,1.37,0.22,4.71,0,0,0,0,0.18,1.08,3.17,0.67,6.59,0,1,0,17.62,11.85,17.39,37.69,21.07,0,6.75,0,0,20.09,0,0,0,0.5,1.61,0,8.32
8,5.75,0.76,1.01,0.48,0,0.89,1.43,0,5.11,11.73,2.91,0.73,0.1,4.27,0,24.93,18.88,22.11,36.35,24.24,2.66,6.73,0,1.07,0.15,1,0,0.1,0.18,3.29,0,17.52
9,22.75,0.46,2.44,0.85,0,1.25,0.63,0.64,0,2.68,0,0.83,0.02,9.8,0,0,0,0,12.83,71.86,1.15,48.94,0,0.88,0.42,1.5,0.08,0.48,0.23,10.31,1.81,18.8
10,2.86,8.99,3.8,1.11,0,2.94,5.28,13.61,4.56,0,0,1.64,0.23,1.45,0,32.23,20.8,24.69,61.76,43.28,12.07,13.17,0,0.57,0.27,4.32,0.1,2.46,0,27.04,0,16.28
11,0,2.09,3.07,0.75,0,1.61,1.97,3.78,0,0,0,0.65,0.45,0,0,0,0,0,0,0,4.26,0,0,6.63,0.17,2.87,0.4,1.09,0,0,0,0
12,1.78,1.37,16.67,5.46,0,7.11,8.14,2.62,2.59,3.61,2.51,0,2.88,1.03,0,0.06,4.14,4.22,45.53,8.22,8.82,12.25,0,48.67,14.41,5.3,2.6,5.03,1.01,3.92,0,4.66
13,0.92,0.21,1.3,2.17,0,6.85,0,0.27,0.67,1.04,0.51,2.14,0,0.77,0,2.01,1.33,1.62,10.24,3.88,10.63,3.2,0,9.43,4.87,3.88,0.1,3.84,0.35,0.47,0,2.43
