LOVPM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,1.79,10.65,4.1,0,4.13,2.47,2.42,81.32,7.88,0,1.83,0.91,0,0,362.86,165.58,198.06,116.18,300.51,2.78,0,0,3.17,0.91,2.67,0.27,1.88,0.67,19.19,4.02,0
2,13.16,0,5.45,1.02,0,3.35,5.22,3.43,13.42,26.56,7.27,2.26,0.59,11.37,0,41.13,51.58,65.79,119.06,61.76,5.68,12.03,0,4.76,0.78,6.78,0.1,0.79,0.59,9.22,0,32.79
3,6.77,4.76,0,4.03,0,12.97,11.63,3.68,5.9,7.78,7.75,27.3,4.12,2.83,0,41.82,16.12,20.93,67.16,54.71,9.85,51.51,0,10.6,0.77,15.15,0,6.96,1.14,0,0,26.61
4,2.24,0.57,3.59,0,0,12.44,0,1.56,1.99,2.46,2.17,8.69,4.64,0.89,0,20.49,4.45,8.55,20.96,21.88,7.23,20.41,0,37.09,5.09,12.41,0,6.91,1.08,1.45,0,9.14
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7.01,2.03,10.29,9.35,0,0,0,1.78,6.53,8.88,4.23,10.46,12.37,4.6,0,56.7,9.5,13.51,67.47,48.04,109.3,29.07,0,44.06,30.94,58.84,1.12,12.55,1.78,5.13,0,15.38
7,4.13,0.81,14.35,0,0,0,0,0.95,3.94,10.8,2.9,16.69,0,3.17,0,48.09,36.94,58.16,122.42,70.66,0,20.54,0,0,72.91,0,0,0,2,5.86,0,22.57
8,14.25,2.42,2.94,1.57,0,2.35,4.06,0,12.46,28.32,7.15,1.63,0.12,11.11,0,58.45,51.09,60.76,94.04,62.17,5.01,15.14,0,2.79,0.75,3.09,0.1,0.13,0.74,7.78,0,42.8
9,59.35,1.99,7.62,2.72,0,4.34,2.17,2.33,0,7.19,0,1.9,0.26,26.25,0,0,0,0,39.31,231.2,1.47,130.11,0,2.79,1.06,1.28,0.08,1.35,0.63,33.78,5.83,49.07
10,8.69,31.94,11.61,3.85,0,9.37,18.54,40.55,14.2,0,0,4.33,1.1,4.69,0,87.78,77.25,88.06,203.31,162.1,25.75,44.2,0,1.89,0.94,16.69,0.3,7.64,0.02,86.45,0,48.61
11,0,7.27,9.14,2.44,0,5.61,6.17,11.52,0,0,0,1.45,2.07,0,0,0,0,0,0,0,8.3,0,0,23.41,0.81,10.24,1.3,3.36,0,0,0,0
12,5.3,3.91,38.75,12.81,0,17.2,20.38,6.66,7.4,9.57,6.28,0,7.22,2.72,0,0.13,12.1,11.87,112.56,27.37,16.73,32.81,0,121.53,40.41,15.8,6.08,11.42,2.33,10.2,0,12.52
13,2.06,0.68,7.78,7.55,0,26.64,0,0.65,2.63,3.67,4.57,6.27,0,2.12,0,4.81,4.99,5.87,43.72,16.38,23.56,9.35,0,32.2,32.02,16.57,0.39,11.98,0.72,1.8,0,6.81
14,0,1.08,5.04,1.78,0,2.11,1.52,1.86,33.26,4.78,0,0.86,0.34,0,0,0,1.75,177.42,76.86,344.24,1.42,0,0,1.97,0.3,1.47,0.16,1.85,0.67,24.45,3.13,0
15,0,121.05,128.67,62.93,0,305.24,149,225.63,0,181.19,0,97.81,15.7,0,0,0,0,0,360.84,0,400.03,0,559.28,195.33,10.49,430.29,35.37,113.51,488.62,1088.56,197.65,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,171.86,79.66,24.57,8.32,0,37.06,90.09,112.39,0,116.86,0,61.53,6.44,3.41,0,0,0,0,0,86.71,94.88,0.71,0,74.41,1.74,53.24,1.47,13.37,131.42,205.22,37.52,469.44
18,105.43,11.51,20.6,7.88,0,23.9,13.94,15.82,0,21.95,0,14.1,3.06,159.52,0,0,0,0,41.31,854.92,10.87,2510.56,0,10.43,2.02,42.04,0.25,14.87,4.38,82.32,9.52,0
19,75.17,81.64,61.61,20.55,0,117.34,79.19,71.14,67.79,113.64,0,76.24,0.77,55.17,0,0,0,26.28,0,302.98,51.27,299.8,0,211.62,1.4,127.37,0.86,20.33,40.15,207.28,0,202.47
20,286.33,95.02,75.66,31.6,0,118.87,102.82,135.97,308.37,151.33,0,67.27,7.97,342.37,0,0,233.12,989.71,397.4,0,302.7,393.38,0,104.78,5.31,187.15,1.93,37.53,166.84,223.59,162.4,0
21,2.39,0.72,14.97,12.77,0,124.4,0,0.72,3.58,4.86,3.31,2.95,37.14,1.46,0,154.57,29.71,39.96,117,246.51,0,32.94,0,377.51,112.59,99.39,35.62,55.76,3.08,9.9,0,21.97
22,0,19.76,73.51,28.36,0,126.13,47.43,41.38,252.99,54.94,0,37.19,13.44,0,0,0,276.46,2963.76,352.68,594.58,54.19,0,0,70.23,0.73,110.79,3.44,60.56,127.31,33.01,78.46,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1887.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2.33,2.62,8.43,36.13,0,115.04,0,2.13,2.11,11.26,5.41,89.85,14.68,1.73,0,57.66,36.84,47.99,206.09,58.26,310.92,8.96,0,0,69.81,106.05,6.93,14.2,2.05,3.65,0,31.81
25,1.36,0.76,0.72,4.14,0,76.15,68.81,0.09,1.24,1.05,0.1,51.06,6.1,1.26,0,3.6,1.24,2.76,5.26,4.69,76.57,0.58,0,80.03,0,50.1,7.11,14.51,0.22,0,0,2.18
26,8.87,4.11,23.88,17.88,0,115.84,0,5.84,9.35,12.97,6.34,9.23,14.78,6.39,0,240.95,20.95,66.91,173.18,210.18,122.62,46.42,0,140.32,81.04,0,14.47,38.47,6.18,13.08,0,16.27
27,1.28,0.23,0,0,0,0.76,0,0.28,0.71,3.06,0.28,1.64,0.12,0.98,0,0.02,0.1,0.52,21.22,0.49,61.46,5.97,0,4.96,18.86,2,0,1.33,0,0,0,4.97
28,3.85,1.52,5.47,6.18,0,8.25,0,1.14,3.09,6.8,2.36,6.75,3.77,2.83,0,0.23,3.77,2.52,34.69,12.36,68.49,16.83,0,13.21,20.89,12.43,0.47,0,0.44,2.84,0,9.64
29,12.5,10.33,1.54,0.64,0,1.18,6.5,13.28,8.54,11.51,0,0.48,0.23,3.29,0,94,71.24,67.82,71.73,91.34,2.78,28.18,0,0.92,0.28,0.2,0,0.54,0,3.32,10.29,64.79
30,29.39,41.56,0,1.68,0,7.35,4.51,48.02,36.37,74.29,0,6.59,0.89,16.43,0,409.53,147.11,141.29,238.58,190.1,5.42,82.49,0,5.38,0,10.37,0,3.72,1.18,0,45.52,141.51
31,3.82,0,0,0,0,0,0,0,4.34,0,0,0,0,2.68,0,62.11,21.17,45.47,0,116.27,0,35.09,0,0,0,0,0,0,0.61,16.1,0,44.34
32,0,46.9,54.76,20.86,0,36.03,42.94,85.47,160.54,76.14,0,7.62,8.21,0,0,0,834.96,0,396.91,0,63.27,0,0,51.33,4.28,65.44,6.28,13.59,127.07,208.68,93,0
