LOVMID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,2.69,49.69,4.5,0,2.12,0.14,9.37,102.82,9.48,0,1.91,1.94,0,0,372.94,195.58,299.17,73.55,411.75,6.26,0,0,0.14,1.52,1.51,0.19,0.58,0.89,9.14,0.98,0
2,26.16,0,23.85,1.95,0,0.93,3.48,5.34,24.81,36.36,10.5,1.89,0.62,21.67,0,74.72,123.75,138.03,95.57,127.59,4.2,32.75,0,0.73,2.6,0.36,0.01,0.2,16.37,4.57,0,53.55
3,51.28,24.13,0,17.66,0,65.32,49.23,14.35,43.85,69.58,48.65,189.06,38.73,26.51,0,357.64,114.94,162.31,433.22,395.63,75.68,24.29,0,40.24,5.28,99.39,0,38.84,7.08,0,0,259.6
4,4.69,2,17.66,0,0,18.29,0,1.35,4.31,5.42,4.33,18.95,10.54,2.18,0,42.88,10.29,16.67,48.86,46.16,14.24,32.31,0,52.16,15.31,21.75,0,8.6,1.12,2.85,0,24.75
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4.72,1.21,70.48,18.5,0,0,0,0.93,6.08,8.5,4.24,36.53,38.32,3.37,0,201.44,76,71.21,146.62,187.5,129.88,55.71,0,112.79,69.19,106.73,1.14,22.54,2.08,12.47,0,69.47
7,9.7,1.96,48.61,0,0,0,0,1.84,9.09,16.24,3.76,33.9,0,5.87,0,100.54,105.42,86.32,98.81,147.18,0,18.22,0,0,84.33,0,0,0,7.81,6.75,0,47.33
8,31.73,5.4,14.55,1.35,0,0.73,3.27,0,27.25,44.1,13.72,4.23,0.59,23.15,0,126.33,131.49,152.28,72.99,152.87,5.3,95.43,0,2.46,0.13,2.28,0.02,0.02,24.51,4.7,0,82.45
9,104.2,2.08,43.09,4.21,0,3.86,1.85,5.62,0,13.48,0,4.12,1.68,43.5,0,0,0,0,36.26,419.23,7.94,381.71,0,0.96,1.26,4.25,0.17,0.9,7.8,42.08,5.56,169.56
10,32.07,58.16,67.86,5.27,0,9.4,47.21,63.34,35.39,0,0,13.23,2.7,14.28,0,215.29,180.97,156.72,202.35,308.39,49.55,216.59,0,14,1.56,11.92,0.15,4.82,21.21,163.84,0,119.7
11,0,10.53,47.96,4.28,0,3.81,5.07,13.46,0,0,0,6.82,2.13,0,0,0,0,0,0,0,6.68,0,0,11.9,0.13,2.48,0.03,1.73,0,0,0,0
12,1.44,1.91,185.89,18.57,0,34.11,33.51,4.16,3.67,6.55,6.69,0,5.77,1.78,0,50.3,52.28,65.75,133.3,109.05,20.76,33.11,0,159.76,86.73,19.15,0.17,13.02,0.78,16.12,0,9.96
13,3.19,0.84,41.77,10.21,0,36.7,0,0.8,2.46,2.49,2.32,5.74,0,1.28,0,18.83,41.91,18.89,17.86,44.68,53.34,10.64,0,25.21,43.91,15.17,0.21,11.03,0.39,2.57,0,7.39
14,0,0.68,25.77,2.09,0,1.54,0.53,1.78,43.11,6.34,0,2.15,1.11,0,0,0,45.31,366.04,23.37,539.65,1.15,0,0,0.07,0.6,3.25,0.17,0.32,2.92,17.1,1.36,0
15,0,30.58,425.97,51.56,0,187.42,78.06,78.87,0,180.27,0,54.51,22.71,0,0,0,0,0,0,0,918.44,0,1690.95,74.47,9.79,722.72,1.29,33.17,200.46,1269.76,69.3,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,223.24,136.56,111.92,9.99,0,88.17,127.64,141.79,0,172.33,0,93.6,36.05,68.27,0,0,0,0,0,307.82,128.64,637.32,0,89.22,2.26,88.76,41.52,56.63,188.48,272.73,41.14,700.92
18,254.61,63.65,121.42,11.87,0,26.53,44.47,73.16,0,64.35,0,39.03,7.57,351.99,0,0,0,0,50.78,1625.77,68.37,5177.84,0,20.67,4.37,63.41,0.07,10.52,99.79,180.22,15.24,0
19,128.77,118.52,373.96,40.32,0,140.54,121.77,83.22,36.94,214.94,0,173,17.99,76.49,0,0,0,51.94,0,473.57,146.55,464.2,0,322.85,54.27,202.15,7.49,41.97,102.28,356.49,0,407.67
20,510.34,148.02,366.71,42.97,0,192.81,172.97,164.92,471.73,302.76,0,154.87,67.98,576.2,0,0,345.78,1651.27,462.38,0,470.39,1192.78,0,126.93,8.52,344.72,48.8,88.52,277.29,379.69,243.23,0
21,7.6,6.14,75.69,14.24,0,110.24,0,6.97,9.12,17.51,8.57,19.46,43.99,1.62,0,741.59,101,106.1,93.97,476.26,0,51.42,0,626.04,244.33,146.76,31.05,50.53,10.76,14.95,0,103.16
22,0,68.2,24.17,31.71,0,72.7,40.21,125,423,221.12,0,31.13,9.83,0,0,0,722.99,5372.83,445.8,1124.97,78.12,0,0,40.94,0.87,65.09,0.46,17.03,19.12,43.86,174.64,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1474.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,8.74,4.3,40.6,50.84,0,128.67,0,5.55,5.63,15.26,16.49,193.66,26.33,2.88,0,124.72,99.53,119.5,419.98,137.85,629.21,39.95,0,0,86.17,165.12,0.59,24.47,7.16,8.99,0,63.98
25,1.57,2.74,5.27,14.96,0,41.62,64.64,0.22,1.27,1.61,0.23,88.76,22.02,0.6,0,7.39,2.37,6.4,57.02,8.68,234.41,0.87,0,33.37,0,83.85,6.62,16.05,0,0,0,6.1
26,4.13,0.61,101.45,22.56,0,98.27,0,2.54,6.72,9.43,3.1,21.42,14.85,4.69,0,604.99,72.39,113.93,192.53,345.62,159.54,70.56,0,142.26,103.54,0,0.33,12.74,0.53,15.93,0,87.12
27,0.04,0.19,0,0,0,10.73,0,0.2,0.03,0.61,0.2,0.18,0.21,0.02,0,27.71,37.34,4.29,3.67,39.28,57.36,0.3,0,0.64,31.05,0.88,0,0.09,0.01,0,0,0.76
28,0.28,0.25,38.27,8.66,0,5.99,0,0.06,0.72,2.42,1.87,13.26,9.25,0.04,0,50.24,24.98,17.87,12.46,54.54,50.19,16.33,0,2.88,21.23,9.97,0.12,0,0.81,5.13,0,8.61
29,30.23,15.54,6.94,1.08,0,0.81,6.89,23.59,26.86,11.9,0,0.43,0.39,5.27,0,241.39,186.58,223.5,78.02,274.65,10.28,15.24,0,0.13,0,0.04,0.01,0.01,0,1.98,5.86,161.6
30,41.84,42.51,0,2.92,0,12.3,6.92,44.38,57.26,191.53,0,16.7,2.67,23.89,0,1153.29,314.22,445.92,380.17,449.65,15.56,46.03,0,8.96,0,16.5,0,5.08,2.15,0,64.33,296.49
31,23.67,0,0,0,0,0,0,0,22.31,0,0,0,0,8.89,0,103.24,42.31,78.66,0,247.91,0,175.19,0,0,0,0,0,0,13.11,41.51,0,118.36
32,0,74.22,246.74,23.39,0,84.98,76.12,98.99,203.92,116.95,0,34.66,8.46,0,0,0,682.01,0,378.44,0,130.13,0,0,59.54,5.86,100.93,1.68,18.3,167.66,254.39,112.86,0
