LOVPM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0.97,36.06,3.6,0,4.14,0.95,1.65,80.42,5.4,0,1.74,0.85,0,0,300.24,115.91,198.06,105.89,309.28,5.97,0,0,1.29,0.94,8.23,0.27,1.2,0.72,20.69,3.39,0
2,12.32,0,15.34,1.21,0,2.82,4.13,3.43,12.61,27.66,6.76,2.41,0.51,11.37,0,33.96,49.4,93.8,117.34,61.94,5.74,16.92,0,1.59,1.42,6.91,0.1,0.6,0.67,10.89,0,32.69
3,19.93,11.87,0,11.56,0,40.71,27.39,10.67,16.93,26.58,23.8,137.95,13.6,10.88,0,142.18,47.58,49.6,219.67,161.1,34.12,193.48,0,30.41,3.58,72.76,0,20.07,2.57,0,0,101.18
4,1.81,0.87,12.04,0,0,12.72,0,1.27,1.96,1.77,2.38,12.45,4.93,0.7,0,18.24,4.28,5.78,24.66,21.8,6.93,16.01,0,33.93,11.16,15.73,0,5.76,0.14,0.01,0,9.4
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.46,1.5,32.48,9.63,0,0,0,1.31,6.19,9.64,4.42,27.77,14.83,4.65,0,56.16,8.82,10.03,74.39,48.51,119.39,20.67,0,45.78,46.46,80.61,1.12,12.39,1.62,0.02,0,17.07
7,2.53,0.12,36.26,0,0,0,0,0.13,2.64,10.1,0.7,20.61,0,2.54,0,42.06,33.84,45.81,110.18,56.33,0,6.52,0,0,78.64,0,0,0,0.11,0.02,0,21.09
8,13.81,2.42,8.92,0.98,0,2.17,4.4,0,12.34,30,7.66,3.93,0.52,11.26,0,49.26,50.73,86.66,93.71,62.17,5.01,17.88,0,2.37,2.11,4.52,0.1,0.12,0.31,8.78,0,42.1
9,56.74,1.07,25.21,3.2,0,4.91,1.52,1.67,0,7.88,0,2.21,0.26,25.98,0,0,0,0,24.08,231.89,4.83,148.17,0,2.26,0.54,6.55,0.08,1.49,0.68,34.03,5.6,58.32
10,8.36,32.9,45.59,3.51,0,11.89,18.46,43.18,15.75,0,0,6.29,1.51,5.41,0,101.03,77.99,75.66,210.97,169.35,27.78,68.98,0,3.34,0.85,28.3,0.3,6.93,2.47,136.18,0,54.16
11,0,6.76,31.1,3.33,0,6.48,5.13,12.03,0,0,0,3.96,2.33,0,0,0,0,0,0,0,8.36,0,0,20.07,0.62,16.61,1.3,3.33,0,0,0,0
12,5.48,4.78,208.32,19.12,0,46.11,27.95,10.39,8.3,12.26,9.05,0,10.45,3.39,0,10.21,12.96,12.78,150.9,33.95,25.01,29.72,0,150.59,95.43,36.47,6.08,22.53,1.32,0.06,0,13.94
13,2.71,0.98,30.49,9.11,0,32.62,0,1.85,2.91,4.43,4.57,8.25,0,1.8,0,5.09,4.64,3.81,46.82,16.16,26.4,7.67,0,35.53,43.06,25.86,0.39,13.06,0.11,0.03,0,6.84
14,0,0.68,18.25,1.54,0,1.29,1.22,1.11,31.33,4.71,0,0.91,0.17,0,0,0,2.46,158.24,74.41,330.45,1.27,0,0,1.23,0.37,5.21,0.16,0.24,0.72,24.78,2.57,0
15,0,91.93,351.14,45.61,0,222.83,106.38,187.27,0,160.04,0,72.34,8.36,0,0,0,0,0,0,0,801.37,0,559.43,148.57,5.93,581.04,29.36,76.97,438,945.18,127.22,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,120.3,75.68,59.31,5.53,0,28.51,84.41,112.39,0,114.38,0,55.03,4.9,5.61,0,0,0,0,0,85.13,96.35,99.63,0,67.33,0.99,44.2,1.47,8.69,141.93,211.28,36.91,352.79
18,102.7,13.46,55.74,6.25,0,18.27,7.03,26.97,0,26.26,0,16.97,2.77,166.69,0,0,0,0,0.33,866.14,12.59,2759.13,0,4.91,2.1,35.57,0.25,11.27,8.67,169,5.36,0
19,65.34,81.64,389.09,43.97,0,161.84,85.51,74.57,54.41,120.3,0,113.59,13.81,47.02,0,0,0,25.17,0,223.21,109.38,133.19,0,385.36,36.03,359.2,0.86,22.77,43.74,249.14,0,186.78
20,289.27,93.83,265.13,33.33,0,129.35,94.2,135.97,311.62,167.34,0,69.59,9.18,342.37,0,0,163.18,859.53,352.08,0,433.27,445.07,0,94.75,5.66,220.44,1.93,32.88,180.19,278.81,166.53,0
