LOVAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,8.33,3.41,0,0,0.02,1.99,7.32,32.54,0.08,0,0.01,0.61,0,0,399.93,65.27,6.35,7.36,90.67,2.54,0,0,3.25,0,4.18,0.01,0.8,0.71,3.74,0.05,0
2,27.77,0,2.46,0,0,0.01,1.05,1.67,21.69,21.38,4.06,0.73,0.69,16.09,0,91.45,42.6,0.69,24.63,43.07,1.2,9.73,0,4.41,0.45,0.18,0.01,0.02,7.46,5.92,0.07,39.75
3,9.64,3.6,0,0,0,7.37,0,1.89,6.75,0,0,0.02,13.61,4.97,0,0,21.47,12.07,0,62.12,24.57,50.36,0,13.75,0.64,42.9,0,3.58,0,0,0,54.62
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.48,1.24,0.76,0,0,0,0,1.08,0.4,0.38,1.24,0.78,16.57,0.41,0,234.9,1.2,0.18,20.41,78.13,193.32,0.05,0,100.62,61.53,153.6,0.09,0.11,0.3,0,0,30.02
7,9.02,6.45,6.1,0,0,0,0,6.53,8.65,3.06,6.33,11.84,0,8.58,0,95.26,24.46,2.03,21.76,40.94,0,29.75,0,0,46.07,0,0,0,4.99,2.09,0,26.68
8,35.24,3.61,2.5,0,0,0.11,1.16,0,29.91,28.7,7.8,0.76,2.26,27.89,0,193.57,57.69,10.81,41.64,97.7,0.61,42.86,0,5.16,0.19,6.26,0.01,0.6,10.87,12.56,0.08,83.56
9,64.37,8.24,4.24,0,0,0.01,2.14,7.07,0,0.57,0,0.03,1.12,25.42,0,0,0,0,7.69,183.78,3.73,157.61,0,4.16,0.29,8.22,0.01,0.77,0.73,10.06,0.06,131.59
10,16.86,29.81,0,0,0,12.35,24.58,27.73,13.19,0,0,4.2,14.02,9.77,0,137.86,38.75,0.27,39.09,63.01,9.9,12.63,0,14.95,0.5,12,0.05,1.21,20.63,12.99,0,44.96
