HOVNT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0.17,4.07,1.28,0,0.4,0.3,0.14,29.4,1.64,0,0,0.2,0,0,93.65,57.33,90.11,30.6,105.64,0,0,0,0,0.29,0.18,0,0.44,4.17,12.89,0,0
2,0.09,0,1.63,0.27,0,0.22,1.52,1.53,0.3,1.67,2.06,0.17,0.17,0.12,0,16.62,17.55,10.5,33.04,26.5,5.71,29.3,0,2.02,0.27,0.16,0,0.17,4.31,1.58,0,2.59
3,2.55,1.2,0,1.31,0,5.22,3.09,1.16,2.52,2.96,2.57,7.49,1.22,1.32,0,23.89,5.25,8.33,20.78,25.49,4.78,16.78,0,4.08,0.26,9.2,0,2.96,0.18,0,0,9.8
4,0.75,0.16,1.08,0,0,4.6,0,0.3,0.76,0.84,0.69,2.62,1.65,0.32,0,10.45,1.49,3,6.33,8.88,3.97,6.36,0,11.59,1.57,7.96,0,2.71,0.08,0.61,0,3.4
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.24,0.06,3.79,3.52,0,0,0,0.13,1.01,0.97,0.59,3.42,6.55,0.5,0,57.08,12.62,6.14,34.27,49.07,74.51,38.26,0,30.72,10.86,54.7,0.53,4.7,0.59,2.26,0,3.32
7,0.4,0.24,4.09,0,0,0,0,0.3,0.45,0.61,0.44,5.45,0,0.19,0,26.63,16.76,9.75,35.18,36.03,0,29.65,0,0,15.82,0,0,0,0.81,1.58,0,1.12
8,0.14,0.92,1.08,0.26,0,0.09,1.56,0,0.53,2.95,2.77,0.28,0.13,0.36,0,31.4,25.53,15.14,30.98,36.68,8.94,42,0,1.96,0,0.76,0,0.24,4.83,2.04,0,8.31
9,21.69,0.41,3.57,1.13,0,1.51,0.41,1.09,0,2.28,0,0.08,0.25,9.53,0,0,0,0,17.38,136.52,0.85,133.39,0,0.36,0.23,1.86,0,0.82,0.32,19.39,1.19,16.39
10,1.87,5.12,5.02,1.44,0,1.78,1.28,10.66,2.57,0,0,0.42,0.25,0.94,0,58.75,37.8,31.33,68.92,80.99,14.05,67.59,0,1.04,0.38,1.72,0,1.3,13.86,52.49,0,13.53
11,0,1.98,3.34,0.98,0,1.13,2.15,4.32,0,0,0,0.57,0.23,0,0,0,0,0,0,0,12.64,0,0,6.39,0.02,1.76,0,0.94,0,0,0,0
12,0.27,0.47,13.71,5.15,0,5.79,8.12,0.66,0.32,0.53,0.69,0,0.35,0.17,0,13.1,7.11,6.1,51.87,29.38,22.61,20.72,0,49.15,15.77,5.78,0,4.19,0.82,3.76,0,0.45
13,0.31,0.21,1.82,2.9,0,12.49,0,0.25,0.34,0.24,0.3,0.43,0,0.07,0,3.77,6.24,1.97,15.12,13.82,20.56,10.54,0,8.84,8.11,15.5,0.28,6.74,0.22,0.7,0,0.51
14,0,0.15,1.88,0.56,0,0.64,0.27,0.48,10.53,0.85,0,0.21,0.02,0,0,0,10.23,113.23,16.83,136.24,0.5,0,0,0.1,0.07,0.46,0,0.31,0,10.07,0.25,0
15,0,18.2,36.13,16.89,0,89.05,33.1,41.08,0,46.11,0,26.97,2.5,0,0,0,0,0,175.51,0,29.43,0,293.18,55.59,2.65,68.02,5.76,33.19,89.01,471.33,49.07,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,49.98,27.06,8.23,2.52,0,26.13,34.99,48.69,0,45.15,0,28.24,8.92,0.02,0,0,0,0,0,33.75,50.74,41.99,0,39.36,0.73,23.21,12.2,17.78,76.41,111.45,10.24,147.56
18,67.46,19,8.21,2.73,0,14.19,24.01,32.68,0,31.85,0,22.3,1.04,102.52,0,0,0,0,13.51,396.12,41.57,936.01,0,25.63,0.65,18.74,0,4.51,53.53,80.74,31.35,0
19,5.51,19.59,16.49,5.3,0,26.49,22.22,22.55,7.28,35.87,0,30.15,1.48,2.75,0,0,0,29,0,132.16,18.18,166.32,0,59.64,8.81,11.77,1.18,4.66,21.97,56.12,0,68.09
20,83.53,29.03,32.92,13.14,0,68.06,41.7,47.74,120.01,65.17,0,37.55,7.29,143.49,0,0,89.67,406.16,183.92,0,99.3,233.66,0,49.02,1.97,52.71,5.65,30.16,77.83,161.1,70.47,0
21,0.12,0.42,5.6,4.93,0,57.74,0,0.66,0.36,0.76,0.84,6.32,17.27,0.38,0,54.21,20.91,12.64,19.85,64.54,0,67,0,535.48,54.92,28.65,17.16,26.55,0.78,4.28,0,7.92
22,0,17.56,29.97,11.53,0,52.01,18.41,38.96,124.53,49.56,0,16,4.77,0,0,0,133.48,1441.48,241.06,277.06,63.56,0,0,31.45,0.1,73.88,0,27.8,33.1,51.71,59.77,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0.66,2.9,12.62,0,44.12,0,0.61,0.18,1.23,2.78,30.53,4.05,0.1,0,38.71,22,12.32,72.68,38.43,466.7,39.56,0,0,19.27,101.34,0.73,7.15,2.57,1.56,0,5.62
25,0,0.22,0.26,1.34,0,28.37,19.82,0.02,0,0.11,0.1,18.93,1.2,0.03,0,0.64,0.17,0.26,6.68,1.12,69.07,0.07,0,32.21,0,44.26,2.2,4.22,0.03,0,0,0.18
26,0.18,0.08,14.24,9.18,0,63.96,0,0.44,0.98,1.34,1.32,3.14,4.66,0.26,0,89.38,11.95,14.88,15.49,49.4,49.57,69.7,0,129.86,30.9,0,1.98,16.42,1.26,5.94,0,13.24
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75,2.36,0,10.34,7.8,36.73,7.06,0,0.1,3.46,5.76,0,0.06,0,0,0,0
28,0.25,0.09,2.1,2.09,0,2.53,0,0.15,0.42,0.8,0.59,1.95,2.67,0.23,0,18.84,3.39,2.77,14.11,20.98,43.75,15.5,0,2.84,2.96,12.48,0,0,0.28,1.4,0,1.74
29,0,0.83,0.32,0.16,0,0.77,1.39,3.13,0,6.96,0,0.47,0.18,0,0,71.29,46.87,33.8,21.02,64.88,0.51,45.92,0,0.43,0.07,1.02,0,0.41,0,4.6,6.34,26.52
30,7.93,5.87,0,0.8,0,3.47,1.48,9.46,12.32,30.57,0,2.3,0.55,4.67,0,244.18,69.38,63.75,72.46,120.35,4.6,54.55,0,2.5,0,6.42,0,2.05,6.05,0,15.75,58.77
31,0.32,0,0,0,0,0,0,0,1.29,0,0,0,0,0.35,0,51.47,25.98,16.34,0,71.36,0,67.84,0,0,0,0,0,0,10.41,17.66,0,16.63
32,0,7.64,17.92,6.36,0,9.69,6.8,19.91,30.27,19.69,0,1.37,0.6,0,0,0,221.87,0,129.72,0,43.29,0,0,12.97,1.4,30.08,0,3.87,51.1,107.5,28.83,0
