LOVNT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0.72,11.15,3.73,0,1.63,1.13,0.64,76.55,4.43,0,0.41,0.18,0,0,242.7,177.95,264.84,86.69,336.8,2.09,0,0,0,0.79,3.98,0,1.28,10.44,32.98,0.64,0
2,0.45,0,4.82,0.89,0,0.84,5.28,4.26,1.46,5.81,6.84,0.61,0.7,0.84,0,68.51,76.88,42.36,106.52,107.47,20.68,93.18,0,6.18,0.87,4.16,0,0.44,15.92,4.54,0,11.24
3,7.85,3.97,0,3.87,0,13.74,9.76,3.37,7.11,8.6,7.69,17.87,5.32,3.97,0,78.44,17.64,26.67,60.87,83.71,21.47,40.69,0,10,1.15,34.48,0,10.74,0.56,0,0,32.18
4,2.59,0.63,3.41,0,0,12.3,0,0.74,2.34,2.2,2.34,6.08,5.34,1.15,0,35.31,5.44,10.87,20.32,32.85,10.72,15.35,0,33.54,5.17,27.22,0,7.3,0.51,1.71,0,11.91
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.25,0.61,20.89,9.98,0,0,0,0.78,2.96,2.38,2.47,8.53,20.87,0.97,0,175.89,42.15,20.28,100.91,164.16,207.82,87.56,0,77.95,28.08,159.84,1.48,13.31,1.59,6.01,0,12.24
7,1.32,0.78,11.91,0,0,0,0,0.74,1.23,2.72,1.87,15,0,0.64,0,82.26,61.17,33.63,107.04,120.84,0,76.2,0,0,49,0,0,0,2.43,4.76,0,4.27
8,0.57,3.08,3.18,0.67,0,0.61,5.22,0,1.88,7.7,7.82,0.84,0.46,1.08,0,119.41,82.87,48.7,88.12,133.94,26.54,109.6,0,5.37,0,3.24,0,0.92,15.2,5.3,0,31.27
9,61.05,1.67,9.29,3.08,0,4.02,1.18,3.1,0,5.92,0,0.53,1.08,26.71,0,0,0,0,44.41,416.73,2.07,350.48,0,0.96,0.63,5.92,0,2.14,0.76,48.33,3.35,53.92
10,4.73,15.55,12.86,3.4,0,4,4.78,25.32,6.37,0,0,1.21,0.49,3,0,165.23,127.2,96.32,179.63,253.4,32.56,189.82,0,2.91,1.4,5.86,0,2.6,35.46,130.48,0,48.88
11,0,6.59,9.25,2.95,0,3.79,6.34,11.06,0,0,0,1.21,0.75,0,0,0,0,0,0,0,25.45,0,0,16.55,0,8.74,0,2.37,0,0,0,0
12,0.94,1.29,30.36,11.05,0,13.02,20.38,1.59,1.04,1.42,1.53,0,1.42,1.35,0,31.37,21.63,15.89,120.08,82.24,47.49,51.08,0,109.39,39.63,14.16,0,8.7,2.05,8.75,0,1.32
13,0.3,0.83,16.82,8.04,0,33.88,0,0.82,1.2,0.55,0.99,1.72,0,0.19,0,7.2,21.21,5.88,48.47,47.72,51.34,28.92,0,23.56,24.24,56.26,1.02,16.16,0.73,2.2,0,1.64
14,0,0.9,5.27,1.68,0,1.23,0.78,1.35,29.13,2.9,0,1.42,0.06,0,0,0,31.2,304.37,49.47,417.02,1.07,0,0,0.26,0.22,5.72,0,1.1,0,28.39,0.53,0
15,0,74.76,112.41,52.28,0,249.36,105.22,146.71,0,155.66,0,76.19,6.3,0,0,0,0,0,619.85,0,28.76,0,822.44,151.91,9.34,97.4,15.7,90.14,281.77,1415.34,170.42,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,168.15,94.97,23.9,7.55,0,73.01,109.5,133.57,0,160.25,0,84.61,25.68,0.31,0,0,0,0,0,153.87,121.7,132.49,0,101.71,2.21,96.96,35.94,46.96,200.64,323.33,31.34,533.21
18,223.12,63.91,24.21,9.13,0,39.77,75.02,91.9,0,106.83,0,63.3,3.43,282.79,0,0,0,0,39.71,1357.88,86.69,2707.67,0,65.03,1.96,71.14,0.01,12.97,138.81,232.65,87.94,0
19,17.45,76,49.49,16.78,0,73.22,70.61,65.88,20.49,109.17,0,79.89,6.06,9.72,0,0,0,93.46,0,457.79,45.26,430.04,0,177.75,30.47,42.87,3.64,12.27,69.4,167.35,0,240.82
20,291.99,114.47,98.9,41.09,0,195.6,130.96,155.56,394.48,221.68,0,111.38,23.87,426.75,0,0,292.24,1373.87,581.83,0,134.89,832.95,0,135.6,6.78,175.94,15.88,85.09,231.07,491.13,225.81,0
21,2.09,0.34,29.5,12.42,0,140.14,0,1.03,1.27,0.8,1.07,14.88,44.59,0.81,0,36.8,57.1,26.37,50.57,102.6,0,117.22,0,469.81,120.95,61.54,42,58.58,2.16,9.84,0,21.38
22,0,50.52,65.86,25,0,108.5,44.91,91.57,312.4,138.05,0,40.19,11.66,0,0,0,307.29,3745.17,557.88,872.51,104.34,0,0,65.46,0.27,184.72,0,56.73,81.77,116.38,148.49,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,2.77,7.62,34.64,0,100.77,0,2.35,0.62,3.69,8.34,75.79,12.95,0.26,0,120.34,67.36,37.47,226.08,123.1,468.15,88.65,0,0,55.72,282.64,1.83,16.58,7.98,4.41,0,18.37
25,0,0.74,1.22,4.47,0,58.83,47.67,0,0,0.64,0,49.67,3.01,0.15,0,0.57,0.79,0.79,23.7,4.9,124.27,0.21,0,68.15,0,113.76,4.74,8.73,0.06,0,0,0.67
26,3.78,3.44,50.84,29.28,0,170.76,0,2.34,4.3,4.7,5.7,9.2,20.26,4.76,0,118.75,53.89,52.17,52.49,171.79,122.79,193.3,0,289.58,106.9,0,6.04,43.4,1.96,19.94,0,61.52
