HOVPM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0.88,3.59,1.25,0,2.09,0.66,1.6,28.27,2.19,0,0.77,0.2,0,0,176.28,48.8,59.29,30.98,85.19,1.67,0,0,2.35,0.19,1,0.09,1.36,0.2,7.35,2.17,0
2,4.16,0,1.51,0.34,0,1.03,1.38,1.16,3.31,7.79,2,0.55,0.03,3.11,0,12.84,13.53,15.39,31.5,15.93,2.55,3.54,0,1.44,0.5,4,0,0.2,0.38,2.89,0,10.18
3,2.65,1.26,0,1.37,0,5.11,3.74,1.09,2.39,2.78,2.38,11.08,1.26,1.44,0,22.47,5.77,7.03,20.52,20.98,4.87,22.44,0,3.57,0.34,12,0,2.87,0.29,0,0,12.4
4,0.94,0.29,1.31,0,0,3.96,0,0.25,0.63,0.81,0.68,3.58,1.89,0.53,0,9.43,1.74,2.64,6.52,8.22,3.44,9.99,0,12.07,1.22,10.46,0,2.26,0.2,0.64,0,3.93
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3.48,0.65,4.14,3.33,0,0,0,0.63,3.03,3.81,1.99,4.57,5.69,2.29,0,37.18,4.84,6.15,27.08,22.03,82.55,20.25,0,21.65,12.26,52.1,0.47,5.47,1.18,2.42,0,9.97
7,1.24,0.14,4.33,0,0,0,0,0.31,1.08,3.39,0.58,5.72,0,1.29,0,21.04,12.09,16.31,35.02,23.59,0,7.78,0,0,20.09,0,0,0,0.06,1.33,0,8.96
8,6.34,0.89,1,0.25,0,0.98,1.58,0,5.75,11.51,2.84,0.91,0.36,4.36,0,26.68,20.01,22.44,33.99,27.51,3.59,6.12,0,0.82,0.15,2,0,0.37,0.12,3.26,0,19.34
9,22,0.73,2.81,0.85,0,1.82,0.63,1.47,0,2.41,0,0.9,0.1,9.48,0,0,0,0,12.6,76.3,2.58,48.35,0,2.41,0.41,3.44,0.08,1.2,0.23,9.77,3.12,17.9
10,2.65,9.17,3.64,1.02,0,2.92,5.55,13.33,4.34,0,0,1.02,0.16,1.71,0,33.97,20.73,23.4,58.71,44.16,15.39,16.16,0,2.77,0.34,8.4,0.1,2.59,0.45,26.59,0,15.51
11,0,1.83,2.7,0.81,0,1.93,1.97,3.51,0,0,0,0.65,0.55,0,0,0,0,0,0,0,5.27,0,0,6.98,0.11,5.84,0.4,1.36,0,0,0,0
12,1.91,1.24,15.21,4.86,0,6.51,7.2,2.74,2.56,3.02,2.51,0,2.61,1,0,0.06,4.22,3.18,41.41,8.85,11.25,11.09,0,45.01,14.41,9.14,2.6,5.63,1.08,3.86,0,4.77
13,0.98,0.09,1.55,2.51,0,8.13,0,0.5,0.8,0.97,0.61,1.89,0,0.61,0,1.59,1.39,2.1,10.34,3.94,14.55,3.76,0,9.02,5.16,8.9,0.1,5.24,0.41,0.7,0,2.67
14,0,0.26,1.9,0.64,0,1.21,0.72,0.58,10.67,1.66,0,0.3,0.07,0,0,0,0.46,58.25,19.27,125.69,1.36,0,0,1.42,0,1.82,0,0.83,0.18,5.97,1.52,0
15,0,24.84,36.98,17.31,0,96.78,42.31,47.59,0,48.43,0,30.28,5.03,0,0,0,0,0,126.36,0,124.48,0,224.48,95.25,2.02,134.37,9.26,44.77,109.84,255.91,45.28,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,58.41,18.8,7.6,2.41,0,11.81,24.65,31.93,0,31.57,0,16.72,1.78,0.85,0,0,0,0,0,18.96,36.44,0.28,0,25.79,0.54,12.33,0.41,5.29,38.21,53.41,9.73,174.65
