HOVAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,1.59,3.73,0,0,0.01,0.53,2.14,10.17,0.02,0,0.01,0.16,0,0,90.86,16.39,5.71,1.95,21.15,0.65,0,0,0.35,0,0.45,0,0.31,0.21,0.05,0.02,0
2,5.48,0,1.98,0,0,0,0.24,0.33,4.13,4.9,0.95,0.25,0.15,3.32,0,14.85,6.6,0.01,3.85,7.2,0,1.38,0,0.59,0.33,0.02,0,0,0.39,1.08,0,7.29
3,8.87,3.68,0,0,0,0,0,1.91,6.62,0,0,0,1.31,4.37,0,0,13.53,8.51,0,54.74,4.73,48.09,0,12.23,1.35,8.08,0,1.01,0,0,0,57.88
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.1,0.29,0,0,0,0,0,0.43,0.1,0.08,0.33,0.31,2.46,0.09,0,48.9,0.24,0.03,3.78,15.23,44.84,0.01,0,31.41,25.03,39.01,0.03,0.03,0.1,0,0,6.37
7,1.96,1.69,4.73,0,0,0,0,1.67,2.34,0.71,1.82,4.63,0,1.94,0,19.17,4.11,0.01,4.41,7.58,0,10.56,0,0,17.04,0,0,0,1.92,0.63,0,5.85
8,7.27,0.68,1.89,0,0,0.04,0.23,0,7.36,7.97,2.24,0.27,0.29,5.69,0,33.94,10.67,1.31,7.29,17.26,0.03,15.74,0,0.65,0.04,0.17,0,0.13,3.08,3.34,0.02,16.62
9,19.05,1.36,3.67,0,0,0.01,0.49,2.36,0,0.14,0,0.01,0.19,5.96,0,0,0,0,1.84,30.72,0.11,65.29,0,0.87,0.04,0.77,0,0.26,0.19,0.92,0.02,28.3
10,3.78,6.14,0,0,0,3.92,5.85,9.3,3.33,0,0,1.4,2.02,2.03,0,24.25,7.76,0.06,9.54,12.58,2.41,4.39,0,4.55,0.1,2.44,0.02,0.35,3.75,3.99,0,9.69
11,0,1.21,0,0,0,0.27,0.3,1.32,0,0,0,0.28,0.02,0,0,0,0,0,0,0,0.04,0,0,0.2,0.03,0.06,0,0,0,0,0,0
12,0.12,0.11,0.03,0,0,0.87,2.28,0.14,0.16,0.03,0.13,0,0.39,0.06,0,12.63,0.09,0.01,2.16,1.99,0.2,0,0,10.71,11.57,0.28,0.01,0.08,0.1,0,0,0.1
