LOVAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,7.81,12.19,0,0,0.02,1.99,6.55,32.85,0.08,0,0.01,1.28,0,0,429.84,64.75,19.45,6.56,94.48,1.78,0,0,1.77,0.01,2.03,0.01,1.42,0.71,0.15,0.05,0
2,26.62,0,8.68,0,0,0.01,1.05,1.37,21.23,21.38,4.06,0.73,0.91,15.92,0,98.29,37.96,0.06,21.95,42.21,0.04,5.77,0,2.94,1.63,0.08,0.01,0.27,7.46,5.92,0.07,39.37
3,38.4,15.07,0,0,0,2.21,0,6.11,26.31,0,0,0.03,10.94,19.05,0,0,63.13,39.3,0,250.03,17.5,116.52,0,45.93,5.08,33.93,0,3.82,0,0,0,260.3
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.48,1.24,0.23,0,0,0,0,1.08,0.4,0.38,1.24,0.78,16.57,0.41,0,252.46,1.2,0.2,18.19,73.02,179,0.05,0,100.62,61.53,144.38,0.09,0.11,0.3,0,0,30.02
7,8.49,6.8,17.8,0,0,0,0,6.23,8.69,3.06,6.33,11.84,0,8.67,0,102.38,19.57,0.08,19.39,35.87,0,27.05,0,0,46.07,0,0,0,4.99,2,0,27.44
8,32.61,3.23,8.58,0,0,0.11,1.16,0,28.51,28.7,7.8,0.76,2.06,27.4,0,208.05,51.17,8.58,37.11,91.31,0.1,46.25,0,2.98,0.19,2.11,0.01,1.05,10.87,12.56,0.08,83.82
9,64.37,7.87,13.21,0,0,0.01,2.14,6.7,0,0.57,0,0.03,1.22,23.29,0,0,0,0,6.86,171.76,0.08,226.16,0,3.66,0.01,2.48,0.01,0.73,0.73,3.93,0.06,123.81
10,16.86,29.81,0,0,0,12.35,24.58,27.73,13.19,0,0,4.2,14.02,9.77,0,148.17,38.75,0.3,34.84,58.89,9.16,12.63,0,14.95,0.5,11.28,0.05,1.21,20.63,12.99,0,44.96
11,0,4.95,0,0,0,0.78,1.25,3.7,0,0,0,0.8,1.05,0,0,0,0,0,0,0,0.11,0,0,0.57,0.16,0.26,0.02,0.02,0,0,0,0
12,0.62,0.34,0.17,0,0,1.95,6.44,0.31,0.57,0.1,0.35,0,1.53,0.22,0,66.3,0.48,0.06,7.47,8.39,0.63,0.02,0,27.72,30.73,0.96,0.03,0.18,0.51,0,0,0.46
13,0.63,0.54,2.16,0,0,3.38,0,0.21,0.51,0.26,0.79,0.51,0,0.02,0,0.93,2.05,0.89,1.45,4.93,3.36,9.16,0,10.54,1.3,8.27,0.02,3.83,0,0.83,0,4.7
14,0,4.97,6.63,0,0,0.01,1.69,1.28,15.62,0.04,0,0.01,0.53,0,0,0,0.01,17.22,6.06,198.13,0.09,0,0,1.56,0,1.69,0.01,0.26,0.72,2.28,0.03,0
15,0,55.13,0,0,0,65.65,61.81,56.19,0,78.67,0,24.54,18.56,0,0,0,0,0,2455.74,0,2.99,0,1829.72,52.88,0.95,51.48,1.85,3.11,50.4,177.24,54.38,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,131.39,11.16,29.3,0,0,5.91,8.25,10.59,0,9.73,0,2.16,8.46,7.01,0,0,0,0,0,173.65,1.97,237.52,0,12.16,0.9,5.08,0.02,1.95,8.19,11.94,0.1,698.84
18,110.25,9.17,22.51,0,0,2.04,1.46,8.48,0,0.18,0,0.55,3.2,91.98,0,0,0,0,8.61,724.23,0.97,2504.48,0,5.06,0.94,11.78,0.02,3.16,0.09,4.72,0.1,0
19,81.7,70.72,0,0,0,42.85,69.81,54.1,2.7,118,0,67.31,41.48,71.67,0,2704.36,5.22,0,0,207.47,16.04,116.32,0,82.52,19.4,39.38,3.32,9.13,38.49,129.06,0.64,151.55
20,204.65,33.52,107.52,0,0,10.86,22.16,24.92,173.96,52.33,0,5.77,28.63,218.55,0,0,13.33,618.68,158.05,0,108.4,630.74,0,41.74,2.09,259.67,0.61,16.96,15.66,57.06,29.23,0
21,58.08,16.21,7.87,0,0,108.71,0,18.83,46.63,36.7,22.74,40.63,38.94,36.74,0,2.23,59.33,5.51,12.43,201.52,0,68.94,0,326.81,116.75,37.29,33.06,63.39,8.18,8.36,0,125.14
22,0,8.74,88.66,0,0,4.99,5.3,10.09,54.11,1.8,0,5.75,7.49,0,0,0,4.37,1493.89,27.07,173.54,13.71,0,0,20.15,0.23,20.72,0.05,6.05,4.67,4.51,1.61,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,9.81,10.03,23.99,0,0,33.1,0,7.97,9.92,3.92,7.57,85.63,42.44,8.81,0,186.98,24.15,0.13,204.55,60.81,330.79,53.01,0,0,71.3,227.67,0.25,18.16,8.04,3.06,0,57.22
25,1.08,3.15,2.82,0,0,22.52,44.63,1.36,0.79,0,0.36,23.34,56.77,0.09,0,0,1.63,0.4,0.75,4.71,172.69,0.01,0,51.84,0,232.99,0.03,16.5,0,0,0,3.72
26,11.83,8.72,24.9,0,0,57.3,0,5.92,17.97,4.27,8.27,8.42,79.94,14.96,0,79.39,17.46,0.33,23.47,251.13,93.84,170.76,0,168.07,96.07,0,0.73,33.18,5.26,23.37,0,297.96
27,2.14,0.65,0,0,0,15.57,0,0.47,0.73,0.76,1.17,1.05,16.1,1.01,0,51.52,4.72,0.04,5.77,3.36,14.51,0.02,0,3.16,13.81,21.41,0,0.03,0,0,0,1.62
28,4.09,2.31,5.95,0,0,7.52,0,1.22,3.81,0.7,2.13,2.23,20.93,2.86,0,89.25,6.12,1.24,9.4,14.8,17.06,48.12,0,8.84,10.71,31.83,0.05,0,5.36,4,0,24.79
