HOVMD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0.74,19.44,1.49,0,2.78,0.05,3.49,36.51,3.07,0,0.75,0.77,0,0,218.4,86.12,112.28,21.46,135.19,4.35,0,0,1.43,0.44,0.81,0.07,0.54,0.32,6.83,0.32,0
2,7.12,0,7.22,0.44,0,0.68,0.85,1.43,7.07,9.99,2.8,0.85,0.29,5.6,0,29.19,29.58,24.65,22.2,34.55,2.09,6.49,0,0.11,1.34,0.11,0,0.38,2.07,1.91,0,14.17
3,19.7,7.28,0,1.39,0,6.33,16.47,5.27,18.21,28.69,18.97,87.05,2.96,9.87,0,204.01,30.04,35.19,182.4,157.09,10.01,10.44,0,14.87,1.79,17.6,0,2.98,2.18,0,0,102.39
4,1.52,0.45,1.39,0,0,7.62,0,0.43,1.27,1.87,1.49,7.61,4.75,0.68,0,21.14,2.27,2.88,17.14,14.94,7.66,14.34,0,16.3,6.93,17.43,0,3.81,0.22,1.18,0,8.26
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3.83,0.77,6.37,7.68,0,0,0,0.99,4.69,6.52,3.74,29.59,27.58,2.56,0,157.52,26.41,19.03,99.73,97.57,96.16,54.14,0,67.85,35.09,145.14,0.4,16.04,0.63,5.76,0,42.16
7,3.19,0.48,16.35,0,0,0,0,0.57,2.68,5.14,0.89,12.34,0,1.94,0,48.69,31.2,24.4,32.39,47.96,0,5.87,0,0,27.2,0,0,0,3.43,1.98,0,15.32
8,11.55,1.44,5.27,0.43,0,0.9,0.97,0,10.89,17.29,5.04,1.84,0.54,7.76,0,56.74,44.68,38.04,21.77,47.58,3.29,25.86,0,0.44,0.02,0.3,0,0.39,5.19,3.47,0,28.1
9,36.74,0.74,18.04,1.25,0,3.77,0.26,2.42,0,4.82,0,1.38,0.83,14.69,0,0,0,0,10.62,137.66,6.54,147.69,0,2.24,0.29,2.29,0.07,0.98,2.49,15.65,1.72,56.04
10,9.73,15.66,28.34,1.85,0,6.93,15.21,24.91,12.33,0,0,4.4,1.09,4.79,0,105.34,50.63,55.58,62.09,100.66,27.76,71.52,0,8.41,0.72,7.82,0.05,2.73,6.7,65.87,0,34.5
11,0,2.8,18.82,1.48,0,3.59,1.36,4.99,0,0,0,2.37,0.85,0,0,0,0,0,0,0,4.34,0,0,4.77,0.03,2.39,0.01,1.18,0,0,0,0
12,0.6,0.85,86.03,7.51,0,28.5,12.23,1.86,1.2,2.01,2.38,0,2.55,0.57,0,29.29,12.26,6.82,62.96,39.54,11.74,6.93,0,72.11,44,16.41,0.08,8.91,0.32,5.95,0,2.68
13,1.12,0.34,2.92,4.7,0,27.19,0,0.58,1.11,1.01,0.9,2.51,0,0.54,0,13.58,12.57,4.91,15.9,19.43,31.08,6.46,0,19.89,18.19,18.07,0.05,9.91,0.08,1.22,0,3.34
