LOVMD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,2.72,54.25,4.27,0,8.3,0.75,9.37,102.18,8.88,0,2.13,2.68,0,0,506.21,279.4,329.09,60.31,429.4,11.56,0,0,4.36,1.5,3.84,0.19,2.88,0.82,18.36,0.87,0
2,26.22,0,26.3,1.6,0,2.7,3.92,5.34,25.2,36.94,10.49,2.69,1.13,21.91,0,110.11,119.89,89.33,80.15,130.56,5.21,18.22,0,0.35,4.69,0.11,0.01,1.96,15.52,7.34,0,54.67
3,56.04,26.56,0,4.58,0,21.01,54.07,16.54,48.2,75.97,52.9,197.54,12.24,29.26,0,562.84,90.56,103.65,510.54,453.6,24.06,28.2,0,42.11,6.89,48.03,0,11.95,7.33,0,0,286.7
4,4.46,1.64,4.57,0,0,22.59,0,1.18,3.48,5.08,4.07,17.06,13.72,1.84,0,60.17,7.18,8.69,48.07,45.71,16.68,32.1,0,52.39,20.62,43.69,0,11.49,0.47,2.85,0,23.84
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,11.37,3.03,22.47,22.95,0,0,0,2.58,12.16,17.25,10.4,63.02,73.89,6.96,0,413.3,75.92,53.69,247.53,265.96,205.89,118.49,0,190.76,103.39,312.4,1.14,47.25,2.38,14.79,0,117.55
7,10.31,2.39,53.38,0,0,0,0,1.84,8.18,16.25,3.9,30.72,0,6.28,0,135.16,100.68,75.06,96.75,145.6,0,18.67,0,0,84.33,0,0,0,7.67,5.52,0,47.05
8,31.73,5.4,16.76,1.18,0,2.34,3.27,0,27.98,44.24,14.14,4.63,1.28,23.11,0,175.04,131.49,111.67,64.97,153.06,5.7,63.52,0,1.58,0.16,3.8,0.02,1.04,22.82,10.2,0,84.81
9,103.48,2.47,47.29,3.38,0,9.69,0.94,6.3,0,11.99,0,3.87,2.69,42.89,0,0,0,0,29.26,415.26,7.76,383.41,0,5.51,0.76,5.77,0.17,2.98,6.24,39.24,5.01,167.17
10,31.47,58.74,74.05,4.93,0,17.76,47.26,63.48,33.99,0,0,11.7,4.01,14.44,0,285.37,179.31,172.85,167.91,305.12,59.89,194.79,0,20.47,2.29,22.48,0.15,7.01,20.54,167.09,0,117.33
11,0,10.5,52.13,4.01,0,9.73,5.2,13.84,0,0,0,5.4,2.62,0,0,0,0,0,0,0,7.45,0,0,13.41,0.13,7.91,0.03,2.99,0,0,0,0
12,1.66,2.66,194.14,16.74,0,59.93,30.35,4.6,3.42,4.99,5.36,0,7.78,2.03,0,69.09,39.75,18.19,138.59,106.03,21.94,21.81,0,153.33,105.3,33.6,0.17,19.43,0.94,14.18,0,9.04
