HOVNT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0,15.9,1.25,0,2.35,0,0,27.96,1.45,0,0.02,0.26,0,0,115.48,57.1,99.12,21.7,95.8,2.18,0,0,2.59,0.31,0.92,0,0.16,4.17,4.04,0,0
2,0,0,5.63,0.31,0,0.63,1.36,1.23,0.28,1.7,1.95,0.26,0.15,0.08,0,17.55,17.36,10.66,28.7,24.1,5.4,29.05,0,1.29,1.04,0.13,0,0.24,4.12,1.94,0,2.71
3,9.19,3.59,0,0.89,0,4.67,8.58,3.42,9.4,13.33,10.02,39.74,1.38,4.69,0,108.64,19.59,28.51,85.79,79.05,5.46,72.98,0,10.67,1.14,8.14,0,2.01,1.12,0,0,47.02
4,0.71,0.23,0.89,0,0,5.85,0,0.25,0.68,0.92,0.86,3.44,2.29,0.32,0,10.98,1.48,2.4,8.36,8.38,4.43,6.31,0,10.42,3.65,8.7,0,2.68,0.13,0.6,0,3.82
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.29,0.36,3.63,4.39,0,0,0,0.52,1.87,2.82,1.85,13.45,12.68,0.9,0,78.32,14.83,8.45,30.55,56.61,127.71,51.01,0,49.52,18.7,73.19,0.53,8.01,0.15,2.78,0,13.77
7,0.08,0,11.66,0,0,0,0,0,0.08,0.54,0,5.82,0,0,0,25.37,15.66,8.16,29.57,27.38,0,27.09,0,0,16.16,0,0,0,0.42,1.11,0,0.88
8,0,0.71,3.58,0.25,0,0.66,1.41,0,0.24,3.11,2.73,0.77,0.24,0.11,0,34.22,25.38,16.17,28.13,30.78,8.63,43.04,0,1.48,0.6,0.53,0,0.25,4.85,2.34,0,8.95
9,20.7,0.39,14.74,1.02,0,3.29,0.12,0.62,0,2.57,0,0.5,0.4,9,0,0,0,0,8.44,122.54,4.36,146.97,0,3.48,0.24,1.6,0,0.69,1.93,7.41,0.78,19.54
10,2.05,5.18,24.44,1.56,0,5.35,1.44,10.97,3.23,0,0,0.99,0.37,1.15,0,76.65,38.33,34.62,62.21,74.72,16.35,74.97,0,5.67,0.62,3.38,0,1.35,14.27,65.26,0,15.95
11,0,1.77,14.79,1.16,0,3.24,1.92,4.17,0,0,0,1.08,0.34,0,0,0,0,0,0,0,12.03,0,0,5.71,0,1.67,0,0.92,0,0,0,0
12,0.59,0.78,78.62,6.96,0,26.84,10.17,1.62,1.04,1.43,1.87,0,1.57,0.37,0,16.88,7.82,6.96,64.12,30.44,24.48,12.93,0,66,42.78,12.22,0,8.17,0.12,4.57,0,1.18
13,0.34,0.19,2.41,4.05,0,24.82,0,0.44,0.49,0.36,0.53,1.32,0,0.2,0,8.04,6.57,2.52,19.43,15.33,21.5,10.72,0,16.22,12.5,18.41,0.28,9.58,0.02,0.84,0,1.27
14,0,0.01,7.51,0.48,0,1.44,0.04,0.08,9.69,0.96,0,0.14,0.12,0,0,0,10.77,104.27,11.11,150.89,1.4,0,0,1.17,0.03,0,0,0.21,0,6.41,0,0
15,0,21.23,201.94,21.57,0,155.56,37.29,47.24,0,65.75,0,39.19,8.49,0,0,0,0,0,0,0,40.68,0,416.32,167.28,3.51,113.74,6.62,43.13,102.36,454.96,47.48,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,48.68,26.62,32.23,2.37,0,29.84,33.91,48.69,0,45.09,0,28.24,9.05,0.6,0,0,0,0,0,37.46,56.64,58.92,0,44.89,0.67,23.25,12.2,17.3,76.41,83.12,9.12,161.54
18,76.27,20.06,28.27,2.3,0,16.29,24.2,35.12,0,34.53,0,23.52,1.02,116.33,0,0,0,0,11,424.74,48.26,1152.1,0,33.45,0.65,17.2,0,2.93,58.88,66.21,34.49,0
19,2.71,17.46,77.98,7.13,0,23.61,19.8,20.05,2.07,32.39,0,33.95,4.24,0,0,0,0,27.38,0,111.25,9.38,103.3,0,98.65,22.46,10.59,1.05,7.95,20.7,62,0,56.79
20,78.05,26.23,107.12,10.81,0,75.71,32.64,40.69,107.67,60.54,0,34.67,7.66,114.11,0,0,88.18,403.29,149.61,0,180.47,232.47,0,55.3,1.75,140.38,5.28,23.09,74.06,107.84,60.63,0
21,1.46,0.63,6.71,5.48,0,131.46,0,0.83,2.3,2.55,0.88,7.83,17.35,0.94,0,30.1,24.71,13.9,25,144.22,0,61.79,0,574.19,99.49,20.15,15.89,26.85,0.49,4.58,0,18.5
22,0,17.27,26.18,11.82,0,79.27,16.29,39.74,130.93,56.03,0,10.24,5.31,0,0,0,156.48,1368.47,138.86,290.96,64.61,0,0,29.62,0.17,68.71,0,27.85,22.88,6.52,63,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.17,0.42,8.92,11.67,0,67.38,0,0.18,0.52,1.91,2.54,41.05,8.69,0.17,0,47.36,22.22,13.34,121.61,35.97,638.71,38.55,0,0,19.27,95.26,0.73,8.46,2.27,1.3,0,8.45
25,0.12,0.71,1.24,4.24,0,28.37,19.82,0.02,0,0.27,0.02,22.55,2.08,0.07,0,0.48,0.27,0.12,19.19,1.24,112.84,0.1,0,32.21,0,41.6,2.2,4.22,0,0,0,0.21
26,0.71,0,10.96,9.57,0,95.69,0,0.32,1.03,2.69,1.39,6.67,7.52,0.04,0,108.45,12.45,14.19,13.94,143.2,16.28,63.81,0,109.94,50.78,0,1.86,17.48,0.02,5.51,0,20.44
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11,2.36,0,9.22,7.29,34.01,7.06,0,0.1,3.46,5.41,0,0.06,0,0,0,0
28,0.16,0.21,1.82,2.35,0,7.69,0,0.2,0.38,0.81,0.58,3.98,4.18,0.13,0,19.34,3.36,2.65,20.53,18.26,43.19,15.53,0,6.03,5.69,12.99,0,0,0,1.18,0,3
29,0,0.62,1.74,0.13,0,0.27,1.08,3.15,0,7.19,0,0.08,0.03,0,0,76.62,46.87,37.18,20.43,60.64,0.53,45.92,0,0.3,0,0.3,0,0.01,0,4.35,6.39,26.52
30,7.86,5.87,0,0.84,0,4.76,1.21,10.09,12.78,40.01,0,2.98,0.7,4.79,0,318.61,67.07,70.65,66.75,128.69,5.21,35.47,0,2.08,0,6.54,0,1.89,6.19,0,20.56,65.03
31,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0.15,0,44.18,25.33,17.97,0,60.93,0,70.96,0,0,0,0,0,0,10.39,25.36,0,18.43
32,0,7.89,87.87,7.23,0,29.93,6.87,21.04,35.15,23.16,0,2.09,1.56,0,0,0,248.13,0,107.85,0,60.55,0,0,30.22,1.51,40.89,0,5.97,54.3,79.63,31.58,0
