LOVNT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0,44.15,3.64,0,7.61,0.13,0,72.32,4.62,0,0.44,1.02,0,0,302.37,177.95,291.32,62.36,305.18,7.65,0,0,8.51,1.02,7.05,0,1.36,10.44,11.01,0,0
2,0,0,17.28,1.03,0,2.1,4.95,3.57,1.09,5.73,5.95,0.92,0.43,0.36,0,74.03,75.45,42.96,95.09,97.4,19.83,91.93,0,3.9,3.27,0.51,0,1.1,15.52,6.66,0,12
3,29.46,13.08,0,2.79,0,12.87,28.51,10.2,26.68,38.58,29.39,94.42,5.67,15.57,0,370.94,65.78,96.9,251.57,259.52,15.76,173.81,0,27.74,4.02,29.03,0,6.55,3.9,0,0,158.81
4,2.45,0.83,2.82,0,0,15.86,0,0.6,1.94,3.03,2.55,8.13,7.37,0.92,0,40.28,5.35,8.51,24.49,29.9,11.74,15.17,0,32.15,11.57,30.23,0,7.56,0.25,1.65,0,13.72
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5.07,1.6,13.63,12.73,0,0,0,1.58,6.01,8.9,6.06,30.91,39.64,2.87,0,267.25,50.46,31.26,89.94,185.38,335.21,114.46,0,118.74,54.42,210.32,1.48,22.96,0.69,7.34,0,51
7,0.32,0.37,35.17,0,0,0,0,0.08,0.19,1.81,0.94,14.97,0,0,0,79.3,57.59,27.9,90.97,92.94,0,68.04,0,0,51.16,0,0,0,0.98,3.16,0,4.86
8,0,2.48,10.28,0.6,0,1.75,4.82,0,1.16,8.14,7.62,2.39,0.79,0.5,0,128.34,82.06,51.79,81.44,113.7,24.34,113.78,0,4.08,1.43,2.71,0,0.7,15.25,5.95,0,33.54
9,57.45,1.3,37.87,2.68,0,9.04,0.26,2.03,0,6.93,0,1.99,1.59,25.04,0,0,0,0,23.32,377.45,3.8,385.34,0,9.19,0.53,6.35,0,2.13,5.19,20.09,2.72,65.15
10,5.64,15.54,61.66,4.36,0,14.26,4.28,26.1,8.04,0,0,2.65,1.49,2.91,0,216.45,128.39,105.68,163.8,232.48,36.71,214.38,0,14.92,1.71,16.28,0,3.54,36.49,161.26,0,58.1
11,0,5.97,39.35,3.16,0,9.23,5.94,10.71,0,0,0,2.88,1.25,0,0,0,0,0,0,0,25.74,0,0,15.49,0,10.3,0,2.78,0,0,0,0
12,1.55,2.01,172.76,15.03,0,56.69,23.72,4.08,3.02,3.56,4.43,0,4.53,1.16,0,43.15,23.11,16.59,143.02,83.96,50.31,33.21,0,140.23,103.24,31.34,0,17.41,0.22,10.6,0,4.22
13,1.2,0.62,11.17,11.12,0,66.01,0,1.35,1.77,1.62,1.83,4.14,0,0.8,0,18.92,22.38,8.64,58.67,50.49,55.45,29.14,0,45.28,39.73,68.77,1.02,23.22,0.06,2.73,0,4.29
14,0,0.28,21.8,1.26,0,4.04,0.2,0.43,26.74,2.6,0,0.71,0.67,0,0,0,32.54,285.37,32.78,435.67,1.5,0,0,3.51,0.15,2.46,0,0.66,0,19.11,0,0
15,0,88.26,620.14,66.34,0,445.63,117.46,168.72,0,219.96,0,107.84,24.33,0,0,0,0,0,0,0,31.85,0,1137.52,454.41,12.77,149.67,18.06,116.66,324.42,1322.67,165.54,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,166.12,92.93,92.7,7.25,0,84.65,105.98,133.11,0,160.14,0,84.66,26.29,2.18,0,0,0,0,0,166.34,132.77,176.49,0,120.24,2.09,97.45,35.94,45.78,200.64,244.93,28.47,592.34
18,251.28,66.72,82.35,7.02,0,46.09,74.42,98.19,0,115.45,0,66.01,3.76,315.34,0,0,0,0,32.15,1462.18,99.45,3352.03,0,89.39,2.26,67.55,0.01,9.46,152.69,190.73,96.73,0
19,8.93,67.74,228.8,21.73,0,65.26,62.94,58.92,7.03,99.43,0,88.26,14.12,0.66,0,0,0,87.84,0,389.96,22.63,275.95,0,256.19,69.57,38.59,3.25,21.21,65.94,169.58,0,202.55
20,272.4,102.37,314.61,34.31,0,211.74,103.05,131.35,353.54,203.57,0,101.94,24.86,362,0,0,290.92,1331.22,472.07,0,257.8,831.11,0,151.5,5.57,487.71,14.84,65.28,227.13,317.05,192.47,0
21,6.28,0.95,19.99,13.56,0,306.36,0,0.59,1.6,4.86,2.38,17.98,47.1,1.06,0,27.25,66.39,29.01,63.71,224.35,0,106.51,0,520,187.7,34.07,38.89,59.05,0.58,10.1,0,38.01
22,0,49.07,59.41,25.37,0,161.48,37.72,95.1,330,159.19,0,25.49,12.59,0,0,0,372.16,3591.63,335.22,915.08,103.06,0,0,61.4,0.31,162.51,0,57.06,63.44,18.57,158.67,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1348.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.85,1.36,24.09,33.63,0,149.7,0,1.03,1.81,5.49,8.12,98.5,28.99,0.56,0,157.87,69.21,42.69,306.57,114.24,564.59,84.59,0,0,55.72,265.68,1.83,23.93,7.31,3.47,0,30.1
25,0.17,2.59,4.29,13.04,0,58.83,47.67,0,0,0.81,0,61.05,11.33,0.21,0,0.49,0.84,0.87,61.08,4.35,184.65,0.18,0,68.15,0,106.93,4.74,8.73,0,0,0,0.71
26,5.19,0.38,35.65,30.79,0,244.04,0,1.86,4.7,12.71,6.96,20.3,31.98,2.43,0,126.42,54.71,49.67,47.24,507.51,40.67,169.31,0,272.21,170.8,0,5.68,48.52,0.11,16.69,0,99.73
