HOVPM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0.31,12.82,0.99,0,3.36,0.28,0.5,28.27,1.54,0,0.9,0.19,0,0,180.41,47.99,65.22,20.29,82.41,4.09,0,0,1.66,0.37,3.21,0.09,1,0.2,4.14,0.63,0
2,3.68,0,5.69,0.38,0,1.46,1.31,1,3.18,7.94,2,0.99,0.23,3.11,0,15.04,12.97,15.8,27.34,15.23,2.2,2.73,0,1,0.94,3.33,0,0.23,0,2.7,0,10.23
3,9.36,4.56,0,0.89,0,4.15,10.18,3.39,7.97,12.68,9.67,66.76,1.38,4.65,0,104.64,19.67,16.49,77.36,67.22,5.2,5.1,0,10.89,1.29,14.84,0,1.95,1.13,0,0,51.87
4,0.7,0.29,0.92,0,0,5,1.28,0.34,0.6,0.85,0.75,5.18,2.45,0.33,0,11.73,1.63,1.3,7.1,7.37,4.43,8.9,0,9.05,3.18,11.24,0,2.36,0.07,0.49,0,4.25
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4.14,0.91,3.5,4.07,0,0,6.2,0.67,3.51,5.49,2.97,21.34,11.13,2.5,0,74.04,6.51,4.28,39.25,34.43,93.81,31.15,0,21.65,20.43,107.95,0.47,8.85,0.85,2.39,0,20.45
7,0.87,0.04,11.99,0,0,0,0,0.03,0.85,2.98,0.04,7.48,0,0.93,0,20.61,11,15.41,28.56,18.44,0,4.21,0,0,20.09,0,0,0,0,1.01,0,8.1
8,5.53,0.76,3.39,0.32,0,1.15,1.36,0,5.37,11.95,3,1.83,0.1,4.36,0,28.74,18.69,23.22,29.93,24.24,3.51,7.85,0,0.94,0.88,4.12,0,0.2,0.24,3.26,0,18.59
9,21.98,0.57,9.96,0.76,0,2.75,0.45,0.86,0,2.23,0,1.28,0.26,9.41,0,0,0,0,0.55,69.93,3.28,45.87,0,2.39,0.21,4.49,0.08,0.93,1.69,4.65,1.68,24.1
10,2.38,9.33,17.45,1.1,0,5.64,5.19,13.87,4.42,0,0,2.4,0.43,1.81,0,48.6,19.87,22.76,53.38,44.26,16.54,19.66,0,2.58,0.28,13.46,0.1,2.86,0.86,37.63,0,17.12
11,0,1.87,11.87,0.91,0,3.56,1.49,3.88,0,0,0,0.97,0.85,0,0,0,0,0,0,0,6.54,0,0,6.07,1.9,11.11,0.4,1.56,0,0,0,0
12,2.1,1.91,94.77,7.32,0,31.21,10.04,4.03,3.26,4.73,2.98,0,4.3,1.3,0,6.27,4.49,1.68,55.93,9.69,14.95,8.3,0,47.71,41.14,24.38,2.6,11.74,0.48,4.3,0,5.49
13,0.99,0.31,1.9,3.4,0,16.39,1.99,0.3,0.93,1.29,0.94,3.34,0,0.67,0,4.68,1.6,1.44,13.53,5.8,14.59,4.21,0,11.14,9.15,16.98,0.1,7,0.06,0.44,0,3.16
14,0,0.23,6.36,0.5,0,1.69,0.36,0.56,9.51,1.76,0,0.47,0.11,0,0,0,1.32,64.08,16.49,113.43,1.08,0,0,1.05,0,1.3,0,0.57,0.18,4.58,0.75,0
15,0,25.78,129.89,14.74,0,118.42,38.44,54.73,0,61.17,0,29.69,4.39,0,0,0,0,0,0,0,47.58,0,326.43,95.59,2.14,214.52,10.65,35.81,126.32,279.85,20.41,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
