LOVPM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,1.66,43.93,3.42,0,12.62,1.26,1.6,80.42,4.99,0,2.1,0.77,0,0,390.44,165.58,217.87,73.55,297.77,9.76,0,0,8.01,1.29,10.43,0.27,3.55,0.67,15.25,1.99,0
2,12.97,0,19.23,1.31,0,5.25,4.38,3.71,13.29,27.51,6.58,2.84,0.81,11.37,0,50.82,50.75,67.34,95.93,63.71,7.1,8.84,0,3.5,3.77,12.54,0.1,1,0.69,10.66,0,34.33
3,24.67,14.65,0,2.86,0,13.29,30.3,11.34,21.91,33.01,27.29,142.69,4.24,12.81,0,240.32,55.45,49.12,212.06,185.72,9.66,14.63,0,31.51,4.08,34.7,0,5.92,3.65,0,0,122.73
4,1.67,1.15,2.91,0,0,15.58,3.99,1.04,1.86,1.97,2.16,10.82,6.23,0.82,0,26.14,4.93,4.49,19.4,21.19,9.38,17.72,0,28.22,11.74,30.1,0,6.94,0.12,1.44,0,10.06
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9.52,2.64,9.98,11.41,0,0,16.77,2.02,8.52,13.18,7.72,41.77,27.72,6.35,0,141.52,15.92,12.36,85.11,80.72,172.08,59.8,0,54.35,53.33,199.62,1.12,23.89,1.87,5.61,0,44.22
7,2.84,0.12,39.3,0,0,0,0,0.13,2.86,9.93,0.58,17.98,0,3.09,0,54.03,34.46,50.39,92.81,58.68,0,10.99,0,0,75.19,0,0,0,0.1,3.25,0,21.66
8,13.81,2.35,9.41,0.7,0,3.48,3.98,0,13.03,28.63,7.83,3.8,0.25,11.42,0,68.93,50.73,63.55,77.15,62.17,6.26,17.83,0,2.5,2.58,8.55,0.1,0.65,0.64,7.7,0,44.98
9,57.25,2.2,31.45,2.76,0,10.3,1.77,3.13,0,6.2,0,2.75,0.84,25.39,0,0,0,0,1.86,224.02,5.36,140.74,0,8.27,0.82,15.34,0.08,3.04,6,17.88,5.72,61.07
10,8.07,32.7,55.56,3.66,0,20.91,18.46,41.54,14.1,0,0,6.21,1.87,5.48,0,140.13,74.38,83.56,176.79,161.11,33.76,60.63,0,10.22,1.22,49.43,0.3,9.28,2.43,125.26,0,52.57
11,0,6.63,37.13,3.06,0,12.62,4.73,12.2,0,0,0,2.47,3.27,0,0,0,0,0,0,0,12.96,0,0,23.17,5.76,36.06,1.3,4.9,0,0,0,0
12,5.83,5.33,215.38,16.72,0,70.5,24.54,9.71,8.61,12.12,7.57,0,10.73,3.85,0,18.27,13.05,5.27,131.55,31.97,32.29,21.89,0,119.23,113.01,62.32,6.08,25.98,1.67,10.58,0,15.23
13,2.96,1.32,9.49,11.57,0,61.75,8.31,1.7,3.53,5.54,5.96,9.73,0,2,0,13.05,6,5.18,50.49,24.15,34.04,11.38,0,45.26,53.68,67.23,0.39,22.04,0.12,5.26,0,9.14
14,0,1.11,21.92,1.72,0,6.04,1.78,1.77,29.41,5.24,0,1.62,0.07,0,0,0,4.07,176.11,60.6,321.04,1.41,0,0,3.98,0.1,10.87,0.16,1.84,0.67,18.53,1.98,0
15,0,130.56,551.6,60.55,0,477.77,144.74,259.47,0,227.56,0,100.04,16.3,0,0,0,0,0,0,0,37.16,0,750.02,381.11,9.83,202,40.68,131.99,561.91,1129.4,90.28,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,171.86,76.31,70.5,6.17,0,41.9,84.41,112.39,0,108.22,0,55.45,5.79,7.08,0,0,0,0,0,124.39,96.25,99.47,0,78.62,1.76,46.71,1.47,10.26,131.42,139.28,0.24,501.8
18,118.05,7.93,46.52,4.04,0,17.34,5.15,17.68,0,26.57,0,8.11,1.76,178.56,0,0,0,0,0.06,936.65,6.41,2734.27,0,8.9,0.57,17.55,0.28,10.07,23.67,80.64,5.45,0
19,53.84,69.47,395.72,38.2,0,233.45,76.19,66.64,43.35,103.94,0,103.21,19.19,38.63,0,0,0,21.19,0,249.19,32.65,114.32,0,423.01,81.14,91.81,0.71,44.46,33.62,195.56,0,160.69
20,284.74,97.12,315.55,33.24,0,210.97,101.01,136.17,290.27,164.42,0,69.94,13.15,342.37,0,0,274.07,1051.39,395.52,0,275.65,433.89,0,130.74,6.31,439.11,1.93,52.65,191.14,238.53,166.09,0
21,5.21,0.35,17.13,16.33,0,193.36,14.91,0.56,3.03,7.54,2.63,6.64,49.03,1.63,0,31.81,32.13,44.28,73.71,182.74,0,34.89,0,429.91,210.16,239.7,44.53,74.78,0.96,9.68,0,39.54
22,0,14.49,191.8,28.35,0,181.84,41.53,41.3,232.56,64.26,0,33.45,17.02,0,0,0,361.91,3194.92,249.97,761.07,87.94,0,0,72.77,0.03,212.16,3.44,67.74,11.77,9.56,75.38,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2299.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1.41,1.68,25.52,36.82,0,147.53,0,1.09,2.37,11.34,5.72,90.56,27.21,1.38,0,66.31,34.22,49.87,215.73,54.54,394.43,9.38,0,0,69.81,199.37,6.93,14.97,0.88,2.6,0,31.23
25,1.68,2.62,4.68,7.8,0,76.15,68.81,2.21,0.34,1.26,0.31,61.26,6.1,1.06,0,5.14,1.37,2.11,44.58,4.52,161.51,0.31,0,80.03,0,94.19,7.11,14.51,0.12,0,0,1.7
26,14.01,7.93,39.82,31.83,0,357.99,37.04,11.39,16.02,27.13,10.26,26.15,36.64,12.52,0,149.7,19.4,41.49,49.3,377.86,143.18,61.63,0,227.22,244.12,0,27.2,91.24,6.6,18.03,0,50.52
27,1.28,0.23,0,0,0,0.76,0,0.28,0.71,3.06,0.28,1.64,0.12,0.98,0,0.02,0.1,0.57,17.4,0.49,76.83,5.97,0,4.96,18.86,3.76,0,1.33,0,0,0,4.97
28,5.1,1.82,5.7,6.31,0,25.73,7.77,1.71,4.04,7.6,3.11,15.92,9.14,2.49,0,17.93,5.07,0.77,41.09,21.74,91.71,20.79,0,18.55,31.89,53.52,0.47,0,0.42,2.82,0,16.28
29,12.5,10.08,4.98,0.17,0,1.8,6.2,12.51,8.54,9.71,0,0.71,0.17,3.29,0,108.1,71.24,74.6,53.17,91.34,3.83,7.34,0,0.85,0.18,5.09,0,0.53,0,1.78,7.37,64.79
30,36.6,42.75,0.05,1.96,0,10.19,2.72,47.54,39.37,103.82,0,7.57,1.39,18.65,0,668.61,151.95,135.28,214.89,262.8,8.76,14.5,0,4.44,0,22.43,0,4.04,1.97,0,57.62,164.21
31,2.34,0,0,0,0,0,0,0,4.33,0,0,0,0,1.92,0,69.94,19.66,47.54,0,112.54,0,38.59,0,0,0,0,0,0,0.01,26.38,0,49.09
32,0,50.13,277.64,24.82,0,121.4,44.24,92.7,184.61,82.5,0,11.43,11,0,0,0,834.96,0,257.18,0,113.88,0,0,75.51,3.8,241.15,6.28,30.62,131.33,166.09,106.18,0
