TOT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,14.83,206.41,15.06,0,37.05,4.99,23.65,390.68,24.65,0,6.36,7.13,0,0,2234.01,895.28,1140.06,268.18,1461.38,42.02,0,0,28.68,4.94,28.74,0.63,11.22,17.54,59.83,3.88,0
2,82.09,0,92.01,5.07,0,12.83,18.06,17.98,75.47,116.09,34.78,9.53,4.1,61.67,0,409.88,350.56,250.81,375.21,414.96,41.87,164.41,0,13.68,17.01,16.83,0.12,5.18,45.77,38.21,0.07,174.77
3,195.69,88.47,0,13.4,0,64.53,148.11,58.18,165.3,202.26,148.24,628.23,40.12,100.27,0,1591.39,357.75,377.67,1319.72,1506.97,92.38,469.77,0,195.95,25.64,194.35,0,36.19,19.31,0,0,1087.7
4,11.51,4.59,13.5,0,0,72.5,5.27,3.84,9.83,13.72,11.88,52.24,36.81,4.91,0,170.44,22.84,28.27,124.56,127.49,54.32,94.54,0,148.53,57.69,141.39,0,34.84,1.26,8.21,0,63.95
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,35.8,10.84,59.81,63.23,0,0,22.97,9.87,37.26,54.62,34.31,201.17,211.67,22.64,0,1433.31,191.49,129.3,614.08,808.92,1254.7,429.11,0,634.9,371.92,1232.01,5.26,127.14,6.97,38.67,0,325.54
7,28.06,11.89,190.38,0,0,0,0,10.55,25.87,40.42,14.5,105.78,0,22.85,0,484.71,274.27,201.41,394.85,434.45,0,172.48,0,0,337.24,0,0,0,19.51,18.66,0,131.16
8,102.5,17.05,59.16,3.48,0,10.43,17.2,0,94.54,150.03,50.4,16.29,5.55,80.35,0,734,414.87,314.33,347.79,540.1,51.86,333.87,0,14.65,5.9,22.29,0.13,4.41,62.94,48.82,0.1,319.41
9,381.02,16.9,176.23,11.85,0,38.86,6.43,24.42,0,35.45,0,11.81,8.02,155.67,0,0,0,0,82.75,1549.34,31.29,1541.47,0,35.61,2.9,39.09,0.41,11.74,24.46,109.77,17.71,545.18
10,79.98,173.1,261.5,17.46,0,87.12,122.27,217.9,92.63,0,0,33.95,25.3,42.38,0,1044.96,537.42,475.41,730.56,989.82,202.58,652.97,0,81.77,7.44,126.57,0.67,28.33,105.67,639.35,0,350.22
11,0,35.7,174.09,13.78,0,43.02,22.19,54.81,0,0,0,16.25,10.25,0,0,0,0,0,0,0,69.21,0,0,69.39,8.01,69.76,1.76,14.35,0,0,0,0
12,13.07,13.99,841.9,70.28,0,276.49,119.77,26.35,21.28,28.97,25.07,0,33.38,9.56,0,261.88,101.05,55.58,605.8,312.01,156.54,105.09,0,637.04,491.77,181.51,8.97,91.9,4.36,50.18,0,38.4
