,,,,,Peggy Malone & Associates,,,,,,,,,,,,,
,,,,,WEEKLY SUMMARY,,,,,,,,,,,,,
,,,,,Starting: 2/8/2017,,,,,,,,,,,,,
Station #:,, Site A-EB   ,,,,,File:,,Picket_EB.prn,,,,,,,,,
Site ID:,,9355,,,,,City:,, 17-031  JD  Max     ,,,,,,,,,
Location:,, SR 50, W of Lake Pickett Rd             ,,,,,County:,,28.56514,-81.18519,,,,,,,
Direction:,,EAST ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
TIME,MON,,TUE,,WED,,THU,,FRI,,SAT,,SUN,,WK TOT,,WK AVG,
,  ,,  ,,8,,9,,10,,  ,,  ,,,,,
Lane 1,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM
0:15,    ,    ,    ,    ,146,468,145,497,147,514,    ,    ,    ,    ,438,1479,146,493
0:30,    ,    ,    ,    ,119,464,128,447,141,483,    ,    ,    ,    ,388,1394,129,464
0:45,    ,    ,    ,    ,91,457,128,420,118,537,    ,    ,    ,    ,337,1414,112,471
1:00,    ,    ,    ,    ,68,504,152,516,99,534,    ,    ,    ,    ,319,1554,106,518
1:15,    ,    ,    ,    ,63,468,103,438,85,508,    ,    ,    ,    ,251,1414,83,471
1:30,    ,    ,    ,    ,51,451,98,481,85,488,    ,    ,    ,    ,234,1420,78,473
1:45,    ,    ,    ,    ,47,490,81,467,67,545,    ,    ,    ,    ,195,1502,65,500
2:00,    ,    ,    ,    ,51,486,79,517,64,570,    ,    ,    ,    ,194,1573,64,524
2:15,    ,    ,    ,    ,55,517,71,443,72,606,    ,    ,    ,    ,198,1566,66,522
2:30,    ,    ,    ,    ,41,499,61,600,53,593,    ,    ,    ,    ,155,1692,51,564
2:45,    ,    ,    ,    ,39,535,62,536,55,656,    ,    ,    ,    ,156,1727,52,575
3:00,    ,    ,    ,    ,26,500,62,586,55,671,    ,    ,    ,    ,143,1757,47,585
3:15,    ,    ,    ,    ,32,595,57,562,56,654,    ,    ,    ,    ,145,1811,48,603
3:30,    ,    ,    ,    ,26,576,51,546,34,642,    ,    ,    ,    ,111,1764,37,588
3:45,    ,    ,    ,    ,30,601,50,634,29,660,    ,    ,    ,    ,109,1895,36,631
4:00,    ,    ,    ,    ,30,692,45,708,43,755,    ,    ,    ,    ,118,2155,39,718
4:15,    ,    ,    ,    ,20,682,41,706,31,724,    ,    ,    ,    ,92,2112,30,704
4:30,    ,    ,    ,    ,33,767,44,718,44,749,    ,    ,    ,    ,121,2234,40,744
4:45,    ,    ,    ,    ,36,740,67,726,35,733,    ,    ,    ,    ,138,2199,46,733
5:00,    ,    ,    ,    ,50,732,72,739,45,843,    ,    ,    ,    ,167,2314,55,771
5:15,    ,    ,    ,    ,48,780,88,818,64,769,    ,    ,    ,    ,200,2367,66,789
5:30,    ,    ,    ,    ,60,769,161,689,59,762,    ,    ,    ,    ,280,2220,93,740
5:45,    ,    ,    ,    ,93,838,156,779,95,780,    ,    ,    ,    ,344,2397,114,799
6:00,    ,    ,    ,    ,144,757,243,798,133,753,    ,    ,    ,    ,520,2308,173,769
6:15,    ,    ,    ,    ,166,716,202,715,175,748,    ,    ,    ,    ,543,2179,181,726
6:30,    ,    ,    ,    ,256,690,266,724,221,682,    ,    ,    ,    ,743,2096,247,698
6:45,    ,    ,    ,    ,244,655,286,667,277,738,    ,    ,    ,    ,807,2060,269,686
7:00,    ,    ,    ,    ,267,569,274,591,271,641,    ,    ,    ,    ,812,1801,270,600
7:15,    ,    ,    ,    ,291,504,258,573,275,566,    ,    ,    ,    ,824,1643,274,547
7:30,    ,    ,    ,    ,326,554,340,590,336,601,    ,    ,    ,    ,1002,1745,334,581
