,,,,,Peggy Malone & Associates
,,,,,WEEKLY SUMMARY
,,,,,Starting: 2/8/2017
Station #:,, Site D-EB   ,,,,,File:,,13_EB.prn
Site ID:,, 000000020180,,,,,City:,, 17-031  JD  Max     
Location:,, SR 50, E of CR 13                       ,,,,,County:,, 28.55275, -81.10413 
Direction:,,EAST 

TIME,MON,,TUE,,WED,,THU,,FRI,,SAT,,SUN,,WK TOT,,WK AVG
,  ,,  ,,08,, 9,,10,,  ,,  
Lane 1,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM
00:15,    ,    ,    ,    ,  28, 224,  35, 195,  41, 275,    ,    ,    ,    , 104, 694,    34,  231
00:30,    ,    ,    ,    ,  34, 186,  32, 222,  29, 218,    ,    ,    ,    ,  95, 626,    31,  208
00:45,    ,    ,    ,    ,  26, 207,  27, 184,  29, 281,    ,    ,    ,    ,  82, 672,    27,  224
01:00,    ,    ,    ,    ,  20, 214,  35, 215,  24, 243,    ,    ,    ,    ,  79, 672,    26,  224
01:15,    ,    ,    ,    ,  15, 215,  23, 198,  16, 248,    ,    ,    ,    ,  54, 661,    18,  220
01:30,    ,    ,    ,    ,  24, 216,  16, 213,  16, 274,    ,    ,    ,    ,  56, 703,    18,  234
01:45,    ,    ,    ,    ,  16, 208,  17, 218,  22, 246,    ,    ,    ,    ,  55, 672,    18,  224
02:00,    ,    ,    ,    ,  13, 226,  19, 232,  13, 287,    ,    ,    ,    ,  45, 745,    15,  248
02:15,    ,    ,    ,    ,  12, 252,  17, 256,  16, 258,    ,    ,    ,    ,  45, 766,    15,  255
02:30,    ,    ,    ,    ,  16, 210,  22, 280,  18, 314,    ,    ,    ,    ,  56, 804,    18,  268
02:45,    ,    ,    ,    ,   9, 257,  23, 254,  11, 296,    ,    ,    ,    ,  43, 807,    14,  269
03:00,    ,    ,    ,    ,  11, 245,  15, 253,  11, 279,    ,    ,    ,    ,  37, 777,    12,  259
03:15,    ,    ,    ,    ,  17, 239,  11, 256,  11, 305,    ,    ,    ,    ,  39, 800,    13,  266
03:30,    ,    ,    ,    ,  11, 267,  16, 275,  11, 275,    ,    ,    ,    ,  38, 817,    12,  272
03:45,    ,    ,    ,    ,  10, 246,  14, 238,  15, 286,    ,    ,    ,    ,  39, 770,    13,  256
04:00,    ,    ,    ,    ,  10, 251,  21, 316,  11, 320,    ,    ,    ,    ,  42, 887,    14,  295
04:15,    ,    ,    ,    ,  17, 271,   8, 268,  22, 375,    ,    ,    ,    ,  47, 914,    15,  304
04:30,    ,    ,    ,    ,  14, 296,  19, 288,  14, 373,    ,    ,    ,    ,  47, 957,    15,  319
04:45,    ,    ,    ,    ,  28, 284,  31, 303,  31, 350,    ,    ,    ,    ,  90, 937,    30,  312
05:00,    ,    ,    ,    ,  37, 344,  49, 343,  35, 363,    ,    ,    ,    , 121,1050,    40,  350
05:15,    ,    ,    ,    ,  46, 387,  54, 363,  56, 385,    ,    ,    ,    , 156,1135,    52,  378
05:30,    ,    ,    ,    ,  56, 396,  49, 394,  50, 396,    ,    ,    ,    , 155,1186,    51,  395
05:45,    ,    ,    ,    ,  78, 343,  94, 371,  68, 401,    ,    ,    ,    , 240,1115,    80,  371
06:00,    ,    ,    ,    , 120, 336, 111, 315, 113, 374,    ,    ,    ,    , 344,1025,   114,  341
