,,,,,Peggy Malone & Associates
,,,,,WEEKLY SUMMARY
,,,,,Starting: 2/8/2017
Station #:,, Site D-WB   ,,,,,File:,,WB.prn
Site ID:,, 000000020185,,,,,City:,, 17-031  JD  Max     
Location:,, SR 50, E of CR 13                       ,,,,,County:,, 28.55275, -81.10413 
Direction:,,WEST 

TIME,MON,,TUE,,WED,,THU,,FRI,,SAT,,SUN,,WK TOT,,WK AVG
,  ,,  ,,08,, 9,,10,,  ,,  
Lane 1,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM
00:15,    ,    ,    ,    ,  20, 196,  30, 183,  31, 211,    ,    ,    ,    ,  81, 590,    27,  196
00:30,    ,    ,    ,    ,  20, 177,  13, 191,  25, 194,    ,    ,    ,    ,  58, 562,    19,  187
00:45,    ,    ,    ,    ,  14, 188,  27, 200,  17, 186,    ,    ,    ,    ,  58, 574,    19,  191
01:00,    ,    ,    ,    ,  19, 176,  22, 183,  24, 205,    ,    ,    ,    ,  65, 564,    21,  188
01:15,    ,    ,    ,    ,  20, 245,  21, 207,  20, 211,    ,    ,    ,    ,  61, 663,    20,  221
01:30,    ,    ,    ,    ,  11, 217,  16, 206,  11, 197,    ,    ,    ,    ,  38, 620,    12,  206
01:45,    ,    ,    ,    ,  10, 193,  14, 171,  17, 246,    ,    ,    ,    ,  41, 610,    13,  203
02:00,    ,    ,    ,    ,  13, 182,  12, 224,  18, 238,    ,    ,    ,    ,  43, 644,    14,  214
02:15,    ,    ,    ,    ,   9, 205,   8, 214,   9, 227,    ,    ,    ,    ,  26, 646,     8,  215
02:30,    ,    ,    ,    ,  14, 222,  18, 205,  19, 240,    ,    ,    ,    ,  51, 667,    17,  222
02:45,    ,    ,    ,    ,  10, 191,  13, 195,   8, 219,    ,    ,    ,    ,  31, 605,    10,  201
03:00,    ,    ,    ,    ,   9, 223,  16, 206,   8, 232,    ,    ,    ,    ,  33, 661,    11,  220
03:15,    ,    ,    ,    ,  17, 156,  14, 198,  17, 227,    ,    ,    ,    ,  48, 581,    16,  193
03:30,    ,    ,    ,    ,  12, 204,  11, 222,  14, 247,    ,    ,    ,    ,  37, 673,    12,  224
03:45,    ,    ,    ,    ,  13, 231,  21, 260,  13, 265,    ,    ,    ,    ,  47, 756,    15,  252
04:00,    ,    ,    ,    ,  18, 254,  14, 246,  11, 295,    ,    ,    ,    ,  43, 795,    14,  265
04:15,    ,    ,    ,    ,  22, 259,  19, 261,  24, 282,    ,    ,    ,    ,  65, 802,    21,  267
04:30,    ,    ,    ,    ,  29, 263,  22, 255,  33, 311,    ,    ,    ,    ,  84, 829,    28,  276
04:45,    ,    ,    ,    ,  31, 279,  31, 291,  42, 323,    ,    ,    ,    , 104, 893,    34,  297
05:00,    ,    ,    ,    ,  38, 277,  62, 305,  39, 359,    ,    ,    ,    , 139, 941,    46,  313
05:15,    ,    ,    ,    ,  70, 327,  72, 309,  69, 371,    ,    ,    ,    , 211,1007,    70,  335
05:30,    ,    ,    ,    , 107, 316, 107, 351,  93, 378,    ,    ,    ,    , 307,1045,   102,  348
05:45,    ,    ,    ,    , 122, 345, 114, 368, 104, 402,    ,    ,    ,    , 340,1115,   113,  371
06:00,    ,    ,    ,    , 155, 266, 148, 305, 127, 368,    ,    ,    ,    , 430, 939,   143,  313
