SEGMENT: 1,SCENARIO:  CP_W of Avalon,

HR,LANE VOLUME,LANE VOLUME,LANE VOLUME,LANE VOLUME,SHARE %,SHARE %,VC RATIO,VC RATIO,VC RATIO,VC RATIO,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,TOLL,TOLL
FACILITY,GUL,GUL,EL,EL,CORRIDOR,EL,EL,GUL,GUL,EL,EL,GGUL,GUL,EL,EL,EL,EL
DIRECTION,NB/EB,SB/WB,NB/EB,SB/WB,TOTAL,NB/EB,SB/WB,NB/EB,SB/WB,NB/EB,SB/WB,NB/EB,SB/WB,NB/EB,SB/WB,NB/EB,SB/WB
  1:   ,    424,    192,     13,      6,    635,    3.1,    2.9,   0.14,   0.06,   0.00,   0.00,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
  2:   ,    257,    150,      8,      5,    420,    3.0,    2.9,   0.09,   0.05,   0.00,   0.00,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
  3:   ,    195,    133,      6,      4,    338,    3.0,    2.9,   0.06,   0.04,   0.00,   0.00,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
  4:   ,    152,    136,      5,      4,    297,    3.0,    2.9,   0.05,   0.05,   0.00,   0.00,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
  5:   ,    195,    315,      6,     10,    525,    2.8,    2.9,   0.06,   0.10,   0.00,   0.00,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
  6:   ,    490,    859,     56,    107,   1512,   10.2,   11.1,   0.16,   0.28,   0.02,   0.03,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
  7:   ,   1378,   2593,    196,    946,   5114,   12.5,   26.7,   0.46,   0.86,   0.05,   0.26,   45.0,   44.4,   65.0,   65.0,   0.30,   0.30
  8:   ,   1758,   2912,    248,   1631,   6548,   12.4,   35.9,   0.58,   0.96,   0.07,   0.45,   44.9,   28.3,   65.0,   64.9,   0.30,   0.30
  9:   ,   1790,   2860,    258,   1466,   6375,   12.6,   33.9,   0.59,   0.95,   0.07,   0.41,   44.9,   31.2,   65.0,   65.0,   0.30,   0.30
 10:   ,   1293,   1688,    224,    311,   3516,   14.8,   15.6,   0.43,   0.56,   0.06,   0.09,   45.0,   44.9,   65.0,   65.0,   0.30,   0.30
 11:   ,   1282,   1426,    228,    260,   3195,   15.1,   15.4,   0.42,   0.47,   0.06,   0.07,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
 12:   ,   1444,   1431,    262,    261,   3398,   15.3,   15.4,   0.48,   0.47,   0.07,   0.07,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
 13:   ,   1604,   1429,    296,    260,   3590,   15.6,   15.4,   0.53,   0.47,   0.08,   0.07,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
 14:   ,   1621,   1440,    300,    262,   3624,   15.6,   15.4,   0.54,   0.48,   0.08,   0.07,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
